HOG	OG	Gene Tree Parent Clade	BMAL	BOKI	CBRI	CELE	CINO	CNIO	CREM	HCON	OTIP	OVOL	PEXS	PRPA	SRAT
N7.HOG0000030	OG0000000	n189				CELE.CELE_C06B8.4, CELE.CELE_F59A1.2		CNIO.Cnig_chr_V.g22038	CREM.GCK72_021808						
N7.HOG0000031	OG0000000	n197			CBRI.L5515_008554	CELE.CELE_F59E11.14, CELE.CELE_F59E11.15, CELE.CELE_F59E11.16, CELE.CELE_R08H2.2		CNIO.Cnig_chr_V.g20048	CREM.GCK72_017265						
N7.HOG0000032	OG0000000	n203			CBRI.L5515_008553	CELE.CELE_F59E11.13		CNIO.Cni-str-84	CREM.GCK72_017264, CREM.GCK72_017267						
N7.HOG0000033	OG0000000	n208			CBRI.L5515_010201			CNIO.Cnig_chr_IV.g12259	CREM.GCK72_012729						
N7.HOG0000034	OG0000000	n211				CELE.CELE_F17E9.14, CELE.CELE_T26H2.6		CNIO.Cnig_chr_IV.g14735	CREM.GCK72_014703						
N7.HOG0000035	OG0000000	n214			CBRI.L5515_011966	CELE.CELE_F52D2.9		CNIO.Cnig_chr_IV.g14737	CREM.GCK72_014704						
N7.HOG0000036	OG0000000	n221			CBRI.L5515_018132	CELE.CELE_C53B7.5			CREM.GCK72_024662						
N7.HOG0000037	OG0000000	n223			CBRI.L5515_008508	CELE.CELE_F10D2.4		CNIO.Cnig_chr_V.g19994	CREM.GCK72_016820						
N7.HOG0000038	OG0000000	n231			CBRI.L5515_007849	CELE.CELE_F07B10.3		CNIO.Cnig_chr_V.g19227	CREM.GCK72_016682						
N7.HOG0000039	OG0000000	n234				CELE.CELE_F07B10.2		CNIO.Cnig_chr_V.g19226	CREM.GCK72_016683						
N7.HOG0000040	OG0000000	n236			CBRI.L5515_007848			CNIO.Cnig_chr_V.g19224	CREM.GCK72_016684						
N7.HOG0000041	OG0000000	n240			CBRI.L5515_009224	CELE.CELE_F59B1.1		CNIO.Cni-str-114	CREM.GCK72_019182						
N7.HOG0000042	OG0000000	n243			CBRI.L5515_006545, CBRI.L5515_007271	CELE.CELE_Y39H10B.1		CNIO.Cnig_chr_V.g17496, CNIO.Cnig_chr_V.g18505	CREM.GCK72_019166						
N7.HOG0000043	OG0000000	n249			CBRI.L5515_009944	CELE.CELE_W06D12.4			CREM.GCK72_021842						
N7.HOG0000044	OG0000000	n255				CELE.CELE_T08B6.7		CNIO.Cnig_chr_IV.g12738	CREM.GCK72_013177, CREM.GCK72_013179						
N7.HOG0000045	OG0000000	n259			CBRI.L5515_009265	CELE.CELE_T01G5.5	CINO.Sp34_50339700	CNIO.Cnig_chr_V.g21018	CREM.GCK72_020571						
N7.HOG0000046	OG0000000	n265			CBRI.L5515_010473	CELE.CELE_Y17G9A.5			CREM.GCK72_013180						
N7.HOG0000047	OG0000000	n269			CBRI.L5515_010474	CELE.CELE_Y17G9A.1		CNIO.Cnig_chr_IV.g12742, CNIO.Cnig_chr_IV.g12743	CREM.GCK72_013181						
N7.HOG0000048	OG0000000	n273			CBRI.L5515_009234, CBRI.L5515_010475, CBRI.L5515_010476	CELE.CELE_Y17G9A.6, CELE.CELE_Y17G9A.7		CNIO.Cnig_chr_IV.g12744, CNIO.Cnig_chr_IV.g12745, CNIO.Cnig_chr_V.g20963	CREM.GCK72_013182, CREM.GCK72_013184						
N7.HOG0000049	OG0000000	n285			CBRI.L5515_006503, CBRI.L5515_010471, CBRI.L5515_010495	CELE.CELE_F56A4.7, CELE.CELE_T08B6.3, CELE.CELE_Y45G12C.12, CELE.CELE_Y9C9A.10, CELE.CELE_Y9C9A.11, CELE.CELE_Y9C9A.17, CELE.CELE_Y9C9A.18, CELE.CELE_Y9C9A.9, CELE.CELE_ZK697.10		CNIO.Cnig_chr_IV.g12737, CNIO.Cnig_chr_IV.g12827, CNIO.Cnig_chr_V.g17432, CNIO.Cnig_chr_V.g17433	CREM.GCK72_013176, CREM.GCK72_013200, CREM.GCK72_013201, CREM.GCK72_013202, CREM.GCK72_013203, CREM.GCK72_013206						
N7.HOG0000050	OG0000000	n306			CBRI.L5515_010500, CBRI.L5515_010501	CELE.CELE_Y9C9A.7		CNIO.Cnig_chr_IV.g12828, CNIO.Cnig_chr_IV.g12829, CNIO.Cnig_chr_IV.g12830	CREM.GCK72_013207, CREM.GCK72_013208						
N7.HOG0000051	OG0000000	n314			CBRI.L5515_010472	CELE.CELE_T08B6.6		CNIO.Cnig_chr_IV.g12739	CREM.GCK72_013178						
N7.HOG0000052	OG0000000	n318			CBRI.L5515_010502	CELE.CELE_Y9C9A.4, CELE.CELE_Y9C9A.5, CELE.CELE_Y9C9A.6		CNIO.Cnig_chr_IV.g12831, CNIO.Cnig_chr_IV.g12832	CREM.GCK72_013209						
N7.HOG0000053	OG0000000	n327			CBRI.L5515_010503	CELE.CELE_Y9C9A.3		CNIO.Cni-str-163	CREM.GCK72_013210						
N7.HOG0000054	OG0000000	n330			CBRI.L5515_010510	CELE.CELE_E03H12.1		CNIO.Cni-str-162	CREM.GCK72_013219						
N7.HOG0000055	OG0000000	n334			CBRI.L5515_005724	CELE.CELE_F55B12.6			CREM.GCK72_018662						
N7.HOG0000056	OG0000000	n336			CBRI.L5515_010504	CELE.CELE_Y9C9A.2		CNIO.Cnig_chr_IV.g12835	CREM.GCK72_013211						
N7.HOG0000057	OG0000000	n342			CBRI.L5515_006595	CELE.CELE_T05B11.5		CNIO.Cnig_chr_V.g17575	CREM.GCK72_014315						
N7.HOG0000058	OG0000000	n351						CNIO.nigoni.pc_2016.07.11_013.g27751, CNIO.nigoni.pc_2016.07.11_013.g27752							
N7.HOG0000059	OG0000000	n353			CBRI.L5515_009312	CELE.CELE_C06C6.3		CNIO.nigoni.pc_2016.07.11_013.g27754	CREM.GCK72_019780						
N7.HOG0000060	OG0000000	n357			CBRI.L5515_009305	CELE.CELE_C06C6.2		CNIO.nigoni.pc_2016.07.11_013.g27753	CREM.GCK72_019781						
N7.HOG0000061	OG0000000	n360			CBRI.L5515_009314, CBRI.L5515_009316	CELE.CELE_T10C6.1		CNIO.nigoni.pc_2016.07.11_013.g27757, CNIO.nigoni.pc_2016.07.11_013.g27758	CREM.GCK72_019779						
N7.HOG0000062	OG0000000	n365						CNIO.Cnig_chr_IV.g15912	CREM.GCK72_015463						
N7.HOG0000063	OG0000000	n367					CINO.Sp34_50038210, CINO.Sp34_50038310, CINO.Sp34_50038510								
N7.HOG0000064	OG0000000	n373				CELE.CELE_C06B3.9, CELE.CELE_T09F5.4		CNIO.Cni-str-252	CREM.GCK72_018689						
N7.HOG0000065	OG0000000	n377				CELE.CELE_C06B3.10		CNIO.Cni-str-250	CREM.GCK72_018690						
N7.HOG0000066	OG0000000	n379				CELE.CELE_F32A7.7		CNIO.Cni-str-245	CREM.GCK72_001453						
N7.HOG0000067	OG0000000	n383			CBRI.L5515_003868	CELE.CELE_W09D6.3		CNIO.Cnig_chr_III.g9751							
N7.HOG0000068	OG0000000	n385			CBRI.L5515_003867	CELE.CELE_B0213.9, CELE.CELE_B0391.12, CELE.CELE_C55A1.3		CNIO.Cnig_chr_III.g9750							
N7.HOG0000069	OG0000000	n391			CBRI.L5515_011150			CNIO.Cnig_chr_IV.g13733	CREM.GCK72_013875						
N7.HOG0000070	OG0000000	n394				CELE.CELE_F10A3.9, CELE.CELE_F41B5.8									
N7.HOG0000071	OG0000000	n396			CBRI.L5515_011149	CELE.CELE_C42D4.5		CNIO.Cnig_chr_IV.g13732	CREM.GCK72_013874						
N7.HOG0000072	OG0000000	n400			CBRI.L5515_005749			CNIO.Cnig_chr_V.g16402							
N7.HOG0000073	OG0000000	n402				CELE.CELE_C50H11.9, CELE.CELE_K02H11.1, CELE.CELE_K02H11.2, CELE.CELE_K02H11.7, CELE.CELE_R09E12.4, CELE.CELE_Y73C8C.1			CREM.GCK72_019015						
N7.HOG0000074	OG0000000	n408				CELE.CELE_C06B3.1, CELE.CELE_K02H11.3			CREM.GCK72_019016						
N7.HOG0000075	OG0000000	n410			CBRI.L5515_003864	CELE.CELE_C01B4.1, CELE.CELE_C01B4.3, CELE.CELE_C05E4.13, CELE.CELE_C45H4.15, CELE.CELE_T01G6.9, CELE.CELE_T24A6.6, CELE.CELE_W09D6.2, CELE.CELE_Y19D10A.1, CELE.CELE_Y19D10A.2		CNIO.Cnig_chr_III.g9746	CREM.GCK72_010320						
N7.HOG0000076	OG0000000	n422					CINO.Sp34_40291710, CINO.Sp34_40292010, CINO.Sp34_40292020								
N7.HOG0000077	OG0000000	n427			CBRI.L5515_011320	CELE.CELE_M7.13		CNIO.Cnig_chr_IV.g13940							
N7.HOG0000078	OG0000000	n429			CBRI.L5515_008348, CBRI.L5515_008349	CELE.CELE_W06H8.7		CNIO.Cni-str-206, CNIO.Cnig_chr_V.g19800	CREM.GCK72_017885, CREM.GCK72_017886						
N7.HOG0000079	OG0000000	n437			CBRI.L5515_006184	CELE.CELE_C02E7.9		CNIO.Cnig_chr_V.g17007	CREM.GCK72_019353						
N7.HOG0000080	OG0000000	n440			CBRI.L5515_008350	CELE.CELE_F10D2.1		CNIO.Cnig_chr_V.g19803	CREM.GCK72_017887						
N7.HOG0000081	OG0000000	n444			CBRI.L5515_006189	CELE.CELE_C02E7.11, CELE.CELE_C02E7.12, CELE.CELE_C02E7.13, CELE.CELE_C31A11.9, CELE.CELE_F26G5.11		CNIO.Cnig_chr_V.g17011	CREM.GCK72_019354						
N7.HOG0000082	OG0000000	n451			CBRI.L5515_006190	CELE.CELE_F26G5.2, CELE.CELE_F26G5.4, CELE.CELE_F26G5.5		CNIO.Cnig_chr_V.g17012							
N7.HOG0000083	OG0000000	n457				CELE.CELE_Y46H3D.2, CELE.CELE_Y46H3D.3									
N7.HOG0000084	OG0000000	n459			CBRI.L5515_006817, CBRI.L5515_007017, CBRI.L5515_011154	CELE.CELE_K10C9.8		CNIO.Cnig_chr_IV.g13739, CNIO.Cnig_chr_V.g18174	CREM.GCK72_013880						
N7.HOG0000085	OG0000000	n465			CBRI.L5515_007047, CBRI.L5515_011153, CBRI.L5515_015464	CELE.CELE_C07G3.3, CELE.CELE_C07G3.4, CELE.CELE_C07G3.5, CELE.CELE_C07G3.6		CNIO.Cnig_chr_IV.g13738	CREM.GCK72_013879, CREM.GCK72_019963						
N7.HOG0000086	OG0000000	n475			CBRI.L5515_011147, CBRI.L5515_011148	CELE.CELE_C42D4.10		CNIO.Cnig_chr_IV.g13731, CNIO.Cnig_chr_V.g17590	CREM.GCK72_013868, CREM.GCK72_013869, CREM.GCK72_020144						
N7.HOG0000087	OG0000000	n483			CBRI.L5515_011146	CELE.CELE_C42D4.9		CNIO.Cnig_chr_IV.g13730	CREM.GCK72_013867						
N7.HOG0000088	OG0000000	n487				CELE.CELE_C55A1.1, CELE.CELE_C55A1.13, CELE.CELE_K02H11.5, CELE.CELE_Y102A5C.28									
N7.HOG0000089	OG0000000	n492						CNIO.Cnig_chr_V.g21293	CREM.GCK72_019715						
N7.HOG0000090	OG0000000	n495			CBRI.L5515_008631	CELE.CELE_T18H9.4		CNIO.Cnig_chr_V.g20138	CREM.GCK72_017153						
N7.HOG0000091	OG0000000	n498			CBRI.L5515_007503	CELE.CELE_F36H5.7, CELE.CELE_R11D1.5, CELE.CELE_R11D1.6, CELE.CELE_T10H9.6			CREM.GCK72_018382						
N7.HOG0000092	OG0000000	n504			CBRI.L5515_008101	CELE.CELE_C12D8.12		CNIO.Cni-str-182	CREM.GCK72_017578						
N7.HOG0000093	OG0000000	n511			CBRI.L5515_008770	CELE.CELE_C50C10.7		CNIO.Cnig_chr_V.g20317	CREM.GCK72_016935, CREM.GCK72_016936						
N7.HOG0000094	OG0000000	n515			CBRI.L5515_008769	CELE.CELE_C50C10.6		CNIO.Cnig_chr_V.g20316	CREM.GCK72_016933, CREM.GCK72_016934						
N7.HOG0000095	OG0000000	n519				CELE.CELE_F20E11.4, CELE.CELE_R07B5.1, CELE.CELE_R10E8.5, CELE.CELE_T01G6.3, CELE.CELE_W08G11.5, CELE.CELE_Y37H2C.4, CELE.CELE_Y68A4A.3, CELE.CELE_ZK285.1		CNIO.Cnig_chr_V.g18063, CNIO.Cnig_chr_V.g20319	CREM.GCK72_016926, CREM.GCK72_016938, CREM.GCK72_016939						
N7.HOG0000096	OG0000000	n531			CBRI.L5515_008688			CNIO.Cnig_chr_V.g20318							
N7.HOG0000097	OG0000000	n534						CNIO.Cnig_chr_IV.g12075	CREM.GCK72_012112						
N7.HOG0000098	OG0000000	n537			CBRI.L5515_009981	CELE.CELE_F26D10.8			CREM.GCK72_012039						
N7.HOG0000099	OG0000000	n540			CBRI.L5515_008744	CELE.CELE_F40F9.4		CNIO.Cnig_chr_V.g20284	CREM.GCK72_016972						
N7.HOG0000100	OG0000000	n543			CBRI.L5515_008745	CELE.CELE_C18B10.7, CELE.CELE_F40F9.11		CNIO.Cnig_chr_V.g20285	CREM.GCK72_016971						
N7.HOG0000101	OG0000000	n548			CBRI.L5515_007094			CNIO.Cnig_chr_IV.g11998, CNIO.Cnig_chr_V.g18258, CNIO.Cnig_chr_V.g18259, CNIO.Cnig_chr_V.g18260, CNIO.Cnig_chr_V.g18264, CNIO.Cnig_chr_V.g18265	CREM.GCK72_004024						
N7.HOG0000102	OG0000000	n556				CELE.CELE_C31E10.1			CREM.GCK72_025806						
N7.HOG0000103	OG0000000	n558			CBRI.L5515_010070, CBRI.L5515_011892	CELE.CELE_R08C7.7		CNIO.Cnig_chr_II.g6855, CNIO.Cnig_chr_IV.g12079, CNIO.Cnig_chr_IV.g14653	CREM.GCK72_012130, CREM.GCK72_014627						
N7.HOG0000104	OG0000000	n565			CBRI.L5515_010069	CELE.CELE_Y116A8C.40		CNIO.Cnig_chr_IV.g12078	CREM.GCK72_012123, CREM.GCK72_012128						
N7.HOG0000105	OG0000000	n570					CINO.Sp34_30189300, CINO.Sp34_30298210, CINO.Sp34_50334110, CINO.Sp34_50378000, CINO.Sp34_50378200, CINO.Sp34_50378310, CINO.Sp34_50378320, CINO.Sp34_50378410, CINO.Sp34_50385710								
N7.HOG0000106	OG0000000	n579				CELE.CELE_C17E7.11			CREM.GCK72_019858						
N7.HOG0000107	OG0000000	n580			CBRI.L5515_009457	CELE.CELE_F36D3.7, CELE.CELE_T16A9.2		CNIO.Cnig_chr_V.g21352	CREM.GCK72_019857						
N7.HOG0000108	OG0000000	n584				CELE.CELE_B0391.1, CELE.CELE_B0391.3, CELE.CELE_C06C6.1, CELE.CELE_C18B10.10, CELE.CELE_C50F4.15, CELE.CELE_F49C5.6, CELE.CELE_T10C6.2, CELE.CELE_T13F3.1, CELE.CELE_Y9C9A.112									
N7.HOG0000109	OG0000000	n844				CELE.CELE_T28A11.10			CREM.GCK72_019280						
N7.HOG0000110	OG0000000	n846				CELE.CELE_T28A11.9	CINO.Sp34_50069000		CREM.GCK72_019278						
N7.HOG0000111	OG0000000	n848			CBRI.L5515_006347	CELE.CELE_T20C4.1	CINO.Sp34_50068610, CINO.Sp34_50068710	CNIO.Cnig_chr_V.g17217	CREM.GCK72_019276						
N7.HOG0000112	OG0000000	n853			CBRI.L5515_006339, CBRI.L5515_006998	CELE.CELE_F31F4.16, CELE.CELE_F31F4.8		CNIO.Cnig_chr_V.g17200	CREM.GCK72_019267, CREM.GCK72_019525						
N7.HOG0000113	OG0000000	n864				CELE.CELE_C05E4.10, CELE.CELE_C05E4.11, CELE.CELE_R09B5.7			CREM.GCK72_015934, CREM.GCK72_020213						
N7.HOG0000114	OG0000000	n868			CBRI.L5515_006187, CBRI.L5515_006996	CELE.CELE_F28H7.1		CNIO.Cnig_chr_V.g17622, CNIO.Cnig_chr_V.g18145	CREM.GCK72_016476, CREM.GCK72_019500						
N7.HOG0000115	OG0000000	n876			CBRI.L5515_006237	CELE.CELE_F28H7.11			CREM.GCK72_016477						
N7.HOG0000116	OG0000000	n878			CBRI.L5515_006238	CELE.CELE_F22B8.1, CELE.CELE_T01G5.3, CELE.CELE_ZK262.10									
N7.HOG0000117	OG0000000	n882			CBRI.L5515_007778			CNIO.Cnig_chr_V.g17875, CNIO.Cnig_chr_V.g19127	CREM.GCK72_018126, CREM.GCK72_019829						
N7.HOG0000118	OG0000000	n887			CBRI.L5515_007241	CELE.CELE_Y45G12C.14, CELE.CELE_Y45G12C.15		CNIO.Cnig_chr_V.g18473	CREM.GCK72_019068, CREM.GCK72_019069						
N7.HOG0000119	OG0000000	n892			CBRI.L5515_007022, CBRI.L5515_007023, CBRI.L5515_007024	CELE.CELE_R05D8.1, CELE.CELE_R05D8.2		CNIO.Cnig_chr_V.g16999, CNIO.Cnig_chr_V.g18181, CNIO.Cnig_chr_V.g18182, CNIO.Cnig_chr_V.g18183							
N7.HOG0000120	OG0000000	n901			CBRI.L5515_008919			CNIO.Cnig_chr_V.g20499	CREM.GCK72_017469						
N7.HOG0000121	OG0000000	n904			CBRI.L5515_006356	CELE.CELE_F07G11.5		CNIO.Cnig_chr_V.g17232	CREM.GCK72_019282						
N7.HOG0000122	OG0000000	n908			CBRI.L5515_006837, CBRI.L5515_006838	CELE.CELE_T07C12.1		CNIO.Cnig_chr_V.g17918, CNIO.Cnig_chr_V.g17919	CREM.GCK72_012843, CREM.GCK72_016886						
N7.HOG0000123	OG0000000	n915			CBRI.L5515_006997	CELE.CELE_F48G7.1		CNIO.Cni-srj-37	CREM.GCK72_011476						
N7.HOG0000124	OG0000000	n919							CREM.GCK72_020009, CREM.GCK72_020729						
N7.HOG0000125	OG0000000	n921			CBRI.L5515_006821	CELE.CELE_T03D3.10, CELE.CELE_T03D3.11, CELE.CELE_T03D3.6, CELE.CELE_T03D3.7, CELE.CELE_T03D3.8, CELE.CELE_T03D3.9		CNIO.Cnig_chr_V.g17900, CNIO.Cnig_chr_V.g17902							
N7.HOG0000126	OG0000000	n929			CBRI.L5515_006712, CBRI.L5515_006822	CELE.CELE_C31B8.10, CELE.CELE_F37B4.11, CELE.CELE_F38H12.1, CELE.CELE_F38H12.2, CELE.CELE_T02B11.5, CELE.CELE_T03D3.12, CELE.CELE_T03D3.13, CELE.CELE_T03D3.14, CELE.CELE_T03D3.2, CELE.CELE_Y45G12A.1, CELE.CELE_Y49C4A.6, CELE.CELE_Y49C4A.7, CELE.CELE_Y73F8A.3, CELE.CELE_Y73F8A.4		CNIO.Cnig_chr_V.g17898, CNIO.Cnig_chr_V.g17903, CNIO.Cnig_chr_V.g17904							
N7.HOG0000127	OG0000000	n949				CELE.CELE_T06A1.2, CELE.CELE_Y40B10B.2			CREM.GCK72_019205						
N7.HOG0000128	OG0000000	n953			CBRI.L5515_006341	CELE.CELE_R13D7.3		CNIO.Cnig_chr_V.g17202							
N7.HOG0000129	OG0000000	n955				CELE.CELE_C03G6.3			CREM.GCK72_015245, CREM.GCK72_019268, CREM.GCK72_020215						
N7.HOG0000130	OG0000000	n958			CBRI.L5515_006354, CBRI.L5515_006355	CELE.CELE_F14H3.1, CELE.CELE_T28A11.12		CNIO.Cnig_chr_V.g17231	CREM.GCK72_019281						
N7.HOG0000131	OG0000000	n963			CBRI.L5515_007654, CBRI.L5515_007655	CELE.CELE_C27A7.7, CELE.CELE_VC27A7L.1	CINO.Sp34_50132100, CINO.Sp34_50132210	CNIO.Cnig_chr_V.g18954, CNIO.Cnig_chr_V.g18955	CREM.GCK72_018205, CREM.GCK72_018206						
N7.HOG0000132	OG0000000	n972				CELE.CELE_ZK829.12, CELE.CELE_ZK829.8									
N7.HOG0000133	OG0000000	n982			CBRI.L5515_015423										
N7.HOG0000134	OG0000000	n985				CELE.CELE_F22B8.2									
N7.HOG0000135	OG0000000	n1037				CELE.CELE_Y60A3A.17									
N7.HOG0000136	OG0000000	n1206				CELE.CELE_F44G3.4	CINO.Sp34_50100400								
N7.HOG0000137	OG0000002	n8					CINO.Sp34_40267100, CINO.Sp34_X0124600								
N7.HOG0000138	OG0000002	n10					CINO.Sp34_50255000, CINO.Sp34_X0273400								
N7.HOG0000139	OG0000002	n12					CINO.Sp34_30129600, CINO.Sp34_50278500, CINO.Sp34_X0273300								
N7.HOG0000140	OG0000002	n16					CINO.Sp34_20213500, CINO.Sp34_20252300, CINO.Sp34_50123600, CINO.Sp34_X0157400								
