HOG	OG	Gene Tree Parent Clade	BMAL	BOKI	CBRI	CELE	CINO	CNIO	CREM	HCON	OTIP	OVOL	PEXS	PRPA	SRAT
N11.HOG0000032	OG0000000	n221			CBRI.L5515_018132										
N11.HOG0000033	OG0000000	n223			CBRI.L5515_008508			CNIO.Cnig_chr_V.g19994							
N11.HOG0000034	OG0000000	n231			CBRI.L5515_007849			CNIO.Cnig_chr_V.g19227							
N11.HOG0000035	OG0000000	n234						CNIO.Cnig_chr_V.g19226							
N11.HOG0000036	OG0000000	n236			CBRI.L5515_007848			CNIO.Cnig_chr_V.g19224							
N11.HOG0000037	OG0000000	n240			CBRI.L5515_009224			CNIO.Cni-str-114							
N11.HOG0000038	OG0000000	n246			CBRI.L5515_006545			CNIO.Cnig_chr_V.g17496							
N11.HOG0000039	OG0000000	n247			CBRI.L5515_007271			CNIO.Cnig_chr_V.g18505							
N11.HOG0000040	OG0000000	n249			CBRI.L5515_009944										
N11.HOG0000041	OG0000000	n255						CNIO.Cnig_chr_IV.g12738							
N11.HOG0000042	OG0000000	n259			CBRI.L5515_009265			CNIO.Cnig_chr_V.g21018							
N11.HOG0000043	OG0000000	n265			CBRI.L5515_010473										
N11.HOG0000044	OG0000000	n269			CBRI.L5515_010474			CNIO.Cnig_chr_IV.g12742, CNIO.Cnig_chr_IV.g12743							
N11.HOG0000045	OG0000000	n277			CBRI.L5515_010475			CNIO.Cnig_chr_IV.g12744							
N11.HOG0000046	OG0000000	n279			CBRI.L5515_010476			CNIO.Cnig_chr_IV.g12745							
N11.HOG0000047	OG0000000	n281			CBRI.L5515_009234			CNIO.Cnig_chr_V.g20963							
N11.HOG0000048	OG0000000	n296			CBRI.L5515_006503			CNIO.Cnig_chr_V.g17432, CNIO.Cnig_chr_V.g17433							
N11.HOG0000049	OG0000000	n300			CBRI.L5515_010471			CNIO.Cnig_chr_IV.g12737							
N11.HOG0000050	OG0000000	n302			CBRI.L5515_010495			CNIO.Cnig_chr_IV.g12827							
N11.HOG0000051	OG0000000	n308			CBRI.L5515_010500			CNIO.Cnig_chr_IV.g12828, CNIO.Cnig_chr_IV.g12829							
N11.HOG0000052	OG0000000	n311			CBRI.L5515_010501			CNIO.Cnig_chr_IV.g12830							
N11.HOG0000053	OG0000000	n314			CBRI.L5515_010472			CNIO.Cnig_chr_IV.g12739							
N11.HOG0000054	OG0000000	n318			CBRI.L5515_010502			CNIO.Cnig_chr_IV.g12831, CNIO.Cnig_chr_IV.g12832							
N11.HOG0000055	OG0000000	n327			CBRI.L5515_010503			CNIO.Cni-str-163							
N11.HOG0000056	OG0000000	n330			CBRI.L5515_010510			CNIO.Cni-str-162							
N11.HOG0000057	OG0000000	n334			CBRI.L5515_005724										
N11.HOG0000058	OG0000000	n336			CBRI.L5515_010504			CNIO.Cnig_chr_IV.g12835							
N11.HOG0000059	OG0000000	n342			CBRI.L5515_006595			CNIO.Cnig_chr_V.g17575							
N11.HOG0000060	OG0000000	n351						CNIO.nigoni.pc_2016.07.11_013.g27751, CNIO.nigoni.pc_2016.07.11_013.g27752							
N11.HOG0000061	OG0000000	n353			CBRI.L5515_009312			CNIO.nigoni.pc_2016.07.11_013.g27754							
N11.HOG0000062	OG0000000	n357			CBRI.L5515_009305			CNIO.nigoni.pc_2016.07.11_013.g27753							
N11.HOG0000063	OG0000000	n363			CBRI.L5515_009316			CNIO.nigoni.pc_2016.07.11_013.g27758							
N11.HOG0000064	OG0000000	n364			CBRI.L5515_009314			CNIO.nigoni.pc_2016.07.11_013.g27757							
N11.HOG0000065	OG0000000	n365						CNIO.Cnig_chr_IV.g15912							
N11.HOG0000066	OG0000000	n373						CNIO.Cni-str-252							
N11.HOG0000067	OG0000000	n377						CNIO.Cni-str-250							
N11.HOG0000068	OG0000000	n379						CNIO.Cni-str-245							
N11.HOG0000069	OG0000000	n383			CBRI.L5515_003868			CNIO.Cnig_chr_III.g9751							
N11.HOG0000070	OG0000000	n385			CBRI.L5515_003867			CNIO.Cnig_chr_III.g9750							
N11.HOG0000071	OG0000000	n391			CBRI.L5515_011150			CNIO.Cnig_chr_IV.g13733							
N11.HOG0000072	OG0000000	n396			CBRI.L5515_011149			CNIO.Cnig_chr_IV.g13732							
N11.HOG0000073	OG0000000	n400			CBRI.L5515_005749			CNIO.Cnig_chr_V.g16402							
N11.HOG0000074	OG0000000	n410			CBRI.L5515_003864			CNIO.Cnig_chr_III.g9746							
N11.HOG0000075	OG0000000	n427			CBRI.L5515_011320			CNIO.Cnig_chr_IV.g13940							
N11.HOG0000076	OG0000000	n431			CBRI.L5515_008348			CNIO.Cnig_chr_V.g19800							
N11.HOG0000077	OG0000000	n433			CBRI.L5515_008349			CNIO.Cni-str-206							
N11.HOG0000078	OG0000000	n437			CBRI.L5515_006184			CNIO.Cnig_chr_V.g17007							
N11.HOG0000079	OG0000000	n440			CBRI.L5515_008350			CNIO.Cnig_chr_V.g19803							
N11.HOG0000080	OG0000000	n444			CBRI.L5515_006189			CNIO.Cnig_chr_V.g17011							
N11.HOG0000081	OG0000000	n451			CBRI.L5515_006190			CNIO.Cnig_chr_V.g17012							
N11.HOG0000082	OG0000000	n462			CBRI.L5515_011154			CNIO.Cnig_chr_IV.g13739							
N11.HOG0000083	OG0000000	n463			CBRI.L5515_006817, CBRI.L5515_007017			CNIO.Cnig_chr_V.g18174							
N11.HOG0000084	OG0000000	n467			CBRI.L5515_011153, CBRI.L5515_015464			CNIO.Cnig_chr_IV.g13738							
N11.HOG0000085	OG0000000	n470			CBRI.L5515_007047										
N11.HOG0000086	OG0000000	n477						CNIO.Cnig_chr_V.g17590							
N11.HOG0000087	OG0000000	n479			CBRI.L5515_011147, CBRI.L5515_011148			CNIO.Cnig_chr_IV.g13731							
N11.HOG0000088	OG0000000	n483			CBRI.L5515_011146			CNIO.Cnig_chr_IV.g13730							
N11.HOG0000089	OG0000000	n492						CNIO.Cnig_chr_V.g21293							
N11.HOG0000090	OG0000000	n495			CBRI.L5515_008631			CNIO.Cnig_chr_V.g20138							
N11.HOG0000091	OG0000000	n498			CBRI.L5515_007503										
N11.HOG0000092	OG0000000	n504			CBRI.L5515_008101			CNIO.Cni-str-182							
N11.HOG0000093	OG0000000	n511			CBRI.L5515_008770			CNIO.Cnig_chr_V.g20317							
N11.HOG0000094	OG0000000	n515			CBRI.L5515_008769			CNIO.Cnig_chr_V.g20316							
N11.HOG0000095	OG0000000	n519						CNIO.Cnig_chr_V.g18063, CNIO.Cnig_chr_V.g20319							
N11.HOG0000096	OG0000000	n531			CBRI.L5515_008688			CNIO.Cnig_chr_V.g20318							
N11.HOG0000097	OG0000000	n534						CNIO.Cnig_chr_IV.g12075							
N11.HOG0000098	OG0000000	n537			CBRI.L5515_009981										
N11.HOG0000099	OG0000000	n540			CBRI.L5515_008744			CNIO.Cnig_chr_V.g20284							
N11.HOG0000100	OG0000000	n543			CBRI.L5515_008745			CNIO.Cnig_chr_V.g20285							
N11.HOG0000101	OG0000000	n548			CBRI.L5515_007094			CNIO.Cnig_chr_IV.g11998, CNIO.Cnig_chr_V.g18258, CNIO.Cnig_chr_V.g18259, CNIO.Cnig_chr_V.g18260, CNIO.Cnig_chr_V.g18264, CNIO.Cnig_chr_V.g18265							
N11.HOG0000102	OG0000000	n560			CBRI.L5515_010070			CNIO.Cnig_chr_IV.g12079							
N11.HOG0000103	OG0000000	n562			CBRI.L5515_011892			CNIO.Cnig_chr_II.g6855, CNIO.Cnig_chr_IV.g14653							
N11.HOG0000104	OG0000000	n565			CBRI.L5515_010069			CNIO.Cnig_chr_IV.g12078							
N11.HOG0000105	OG0000000	n580			CBRI.L5515_009457			CNIO.Cnig_chr_V.g21352							
N11.HOG0000106	OG0000000	n848			CBRI.L5515_006347			CNIO.Cnig_chr_V.g17217							
N11.HOG0000107	OG0000000	n856			CBRI.L5515_006339			CNIO.Cnig_chr_V.g17200							
N11.HOG0000108	OG0000000	n858			CBRI.L5515_006998										
N11.HOG0000109	OG0000000	n870			CBRI.L5515_006996			CNIO.Cnig_chr_V.g18145							
N11.HOG0000110	OG0000000	n872			CBRI.L5515_006187			CNIO.Cnig_chr_V.g17622							
N11.HOG0000111	OG0000000	n876			CBRI.L5515_006237										
N11.HOG0000112	OG0000000	n878			CBRI.L5515_006238										
N11.HOG0000113	OG0000000	n883			CBRI.L5515_007778			CNIO.Cnig_chr_V.g19127							
N11.HOG0000114	OG0000000	n885						CNIO.Cnig_chr_V.g17875							
N11.HOG0000115	OG0000000	n887			CBRI.L5515_007241			CNIO.Cnig_chr_V.g18473							
N11.HOG0000116	OG0000000	n895			CBRI.L5515_007023			CNIO.Cnig_chr_V.g16999, CNIO.Cnig_chr_V.g18182							
N11.HOG0000117	OG0000000	n898			CBRI.L5515_007022			CNIO.Cnig_chr_V.g18181							
N11.HOG0000118	OG0000000	n899			CBRI.L5515_007024			CNIO.Cnig_chr_V.g18183							
N11.HOG0000119	OG0000000	n901			CBRI.L5515_008919			CNIO.Cnig_chr_V.g20499							
N11.HOG0000120	OG0000000	n904			CBRI.L5515_006356			CNIO.Cnig_chr_V.g17232							
N11.HOG0000121	OG0000000	n912			CBRI.L5515_006837			CNIO.Cnig_chr_V.g17918							
N11.HOG0000122	OG0000000	n913			CBRI.L5515_006838			CNIO.Cnig_chr_V.g17919							
N11.HOG0000123	OG0000000	n915			CBRI.L5515_006997			CNIO.Cni-srj-37							
N11.HOG0000124	OG0000000	n921			CBRI.L5515_006821			CNIO.Cnig_chr_V.g17900, CNIO.Cnig_chr_V.g17902							
N11.HOG0000125	OG0000000	n932			CBRI.L5515_006822			CNIO.Cnig_chr_V.g17904							
N11.HOG0000126	OG0000000	n933			CBRI.L5515_006712			CNIO.Cnig_chr_V.g17898							
N11.HOG0000127	OG0000000	n953			CBRI.L5515_006341			CNIO.Cnig_chr_V.g17202							
N11.HOG0000128	OG0000000	n958			CBRI.L5515_006354, CBRI.L5515_006355			CNIO.Cnig_chr_V.g17231							
N11.HOG0000129	OG0000000	n968			CBRI.L5515_007655			CNIO.Cnig_chr_V.g18955							
N11.HOG0000130	OG0000000	n970			CBRI.L5515_007654			CNIO.Cnig_chr_V.g18954							
N11.HOG0000131	OG0000000	n982			CBRI.L5515_015423										
N11.HOG0000132	OG0000002	n151						CNIO.Cnig_chr_V.g17665, CNIO.nigoni.pc_2016.07.11_018.g28178							
N11.HOG0000133	OG0000002	n168						CNIO.Cnig_chr_III.g10100							
N11.HOG0000134	OG0000002	n230						CNIO.Cnig_chr_V.g22134							
N11.HOG0000135	OG0000002	n413						CNIO.nigoni.pc_2016.07.11_015.g27975							
N11.HOG0000136	OG0000002	n418						CNIO.Cnig_chr_X.g23726							
N11.HOG0000137	OG0000002	n420						CNIO.Cnig_chr_III.g11015, CNIO.Cnig_chr_X.g24569, CNIO.nigoni.pc_2016.07.11_011.g27551, CNIO.nigoni.pc_2016.07.11_017.g28100							
N11.HOG0000138	OG0000002	n424						CNIO.Cnig_chr_II.g4510, CNIO.Cnig_chr_II.g7008, CNIO.Cnig_chr_II.g7677, CNIO.Cnig_chr_III.g11038, CNIO.nigoni.pc_2016.07.11_011.g27567, CNIO.nigoni.pc_2016.07.11_013.g27780, CNIO.nigoni.pc_2016.07.11_014.g27908							
N11.HOG0000139	OG0000002	n453			CBRI.L5515_001994			CNIO.Cnig_chr_I.g3513, CNIO.Cnig_chr_II.g4322, CNIO.Cnig_chr_II.g6589, CNIO.Cnig_chr_IV.g12331, CNIO.Cnig_chr_IV.g13523, CNIO.Cnig_chr_V.g21311, CNIO.Cnig_chr_V.g21923, CNIO.Cnig_chr_X.g23693, CNIO.nigoni.pc_2016.07.11_016.g28075							
N11.HOG0000140	OG0000002	n601			CBRI.L5515_000691			CNIO.Cni-lin-35							
N11.HOG0000141	OG0000002	n625			CBRI.L5515_017500			CNIO.Cni-C04F6.7							
N11.HOG0000142	OG0000002	n633			CBRI.L5515_010449			CNIO.Cnig_chr_IV.g12707, CNIO.Cnig_chr_IV.g12708							
N11.HOG0000143	OG0000002	n638						CNIO.Cnig_chr_IV.g12025							
N11.HOG0000144	OG0000002	n656			CBRI.L5515_004069			CNIO.Cni-ZC21.6							
N11.HOG0000145	OG0000003	n98						CNIO.Cnig_chr_IV.g13149, CNIO.Cnig_chr_IV.g13382, CNIO.nigoni.pc_2016.07.11_021.g28346							
N11.HOG0000146	OG0000003	n217						CNIO.Cnig_chr_I.g3076, CNIO.Cnig_chr_I.g3753, CNIO.Cnig_chr_I.g435, CNIO.Cnig_chr_I.g446, CNIO.Cnig_chr_II.g4772, CNIO.Cnig_chr_II.g4860, CNIO.Cnig_chr_II.g7708, CNIO.Cnig_chr_II.g8004, CNIO.Cnig_chr_II.g8031, CNIO.Cnig_chr_III.g10922, CNIO.Cnig_chr_III.g11179, CNIO.Cnig_chr_III.g11188, CNIO.Cnig_chr_III.g11189, CNIO.Cnig_chr_III.g8435, CNIO.Cnig_chr_III.g9075, CNIO.Cnig_chr_IV.g12104, CNIO.Cnig_chr_IV.g12393, CNIO.Cnig_chr_IV.g13197, CNIO.Cnig_chr_IV.g13494, CNIO.Cnig_chr_IV.g13608, CNIO.Cnig_chr_IV.g15028, CNIO.Cnig_chr_IV.g15236, CNIO.Cnig_chr_IV.g15405, CNIO.Cnig_chr_IV.g15528, CNIO.Cnig_chr_IV.g15531, CNIO.Cnig_chr_IV.g15638, CNIO.Cnig_chr_IV.g15771, CNIO.Cnig_chr_V.g17045, CNIO.Cnig_chr_V.g17248, CNIO.Cnig_chr_V.g17472, CNIO.Cnig_chr_V.g17498, CNIO.Cnig_chr_V.g17523, CNIO.Cnig_chr_V.g17627, CNIO.Cnig_chr_V.g17628, CNIO.Cnig_chr_V.g17728, CNIO.Cnig_chr_V.g18004, CNIO.Cnig_chr_V.g18163, CNIO.Cnig_chr_V.g18164, CNIO.Cnig_chr_V.g18219, CNIO.Cnig_chr_V.g18297, CNIO.Cnig_chr_V.g18410, CNIO.Cnig_chr_V.g18495, CNIO.Cnig_chr_V.g18496, CNIO.Cnig_chr_V.g20214, CNIO.Cnig_chr_V.g20277, CNIO.Cnig_chr_V.g20827, CNIO.Cnig_chr_V.g21316, CNIO.Cnig_chr_V.g21995, CNIO.Cnig_chr_V.g21996, CNIO.Cnig_chr_V.g22085, CNIO.Cnig_chr_X.g22468, CNIO.Cnig_chr_X.g22757, CNIO.Cnig_chr_X.g23027, CNIO.Cnig_chr_X.g23223, CNIO.Cnig_chr_X.g23561, CNIO.Cnig_chr_X.g23716, CNIO.Cnig_chr_X.g24342, CNIO.Cnig_chr_X.g24635, CNIO.Cnig_chr_X.g24663, CNIO.Cnig_chr_X.g24685, CNIO.Cnig_chr_X.g24741, CNIO.Cnig_chr_X.g25157, CNIO.Cnig_chr_X.g25227, CNIO.Cnig_chr_X.g25505, CNIO.Cnig_chr_X.g25641, CNIO.Cnig_chr_X.g25747, CNIO.Cnig_chr_X.g25978, CNIO.Cnig_chr_X.g26386, CNIO.Cnig_chr_X.g26441, CNIO.Cnig_chr_X.g26554, CNIO.nigoni.pc_2016.07.11_011.g27523, CNIO.nigoni.pc_2016.07.11_011.g27574, CNIO.nigoni.pc_2016.07.11_013.g27807, CNIO.nigoni.pc_2016.07.11_015.g27959, CNIO.nigoni.pc_2016.07.11_017.g28109, CNIO.nigoni.pc_2016.07.11_019.g28205, CNIO.nigoni.pc_2016.07.11_019.g28229, CNIO.nigoni.pc_2016.07.11_021.g28338, CNIO.nigoni.pc_2016.07.11_021.g28351, CNIO.nigoni.pc_2016.07.11_028.g28656, CNIO.nigoni.pc_2016.07.11_079.g29070							
N11.HOG0000147	OG0000003	n295						CNIO.nigoni.pc_2016.07.11_007.g27134							
N11.HOG0000148	OG0000003	n322			CBRI.L5515_004175			CNIO.Cnig_chr_V.g16808							
N11.HOG0000149	OG0000003	n447						CNIO.Cnig_chr_II.g7346, CNIO.Cnig_chr_IV.g13297							
N11.HOG0000150	OG0000003	n604						CNIO.Cnig_chr_V.g17191							
N11.HOG0000151	OG0000003	n610			CBRI.L5515_003151			CNIO.Cni-flp-14							
N11.HOG0000152	OG0000004	n4						CNIO.Cni-tbcb-1							
N11.HOG0000153	OG0000004	n12			CBRI.L5515_019259										
N11.HOG0000154	OG0000004	n33						CNIO.Cnig_chr_V.g17354, CNIO.Cnig_chr_X.g26091							
N11.HOG0000155	OG0000004	n308						CNIO.Cnig_chr_V.g18076							
N11.HOG0000156	OG0000004	n315						CNIO.Cnig_chr_III.g11270, CNIO.Cnig_chr_V.g16676, CNIO.nigoni.pc_2016.07.11_017.g28135							
N11.HOG0000157	OG0000004	n318						CNIO.Cnig_chr_X.g23579							
N11.HOG0000158	OG0000004	n319						CNIO.Cnig_chr_I.g3354							
N11.HOG0000159	OG0000004	n469						CNIO.nigoni.pc_2016.07.11_012.g27635							
N11.HOG0000160	OG0000004	n516						CNIO.Cnig_chr_V.g18531							
N11.HOG0000161	OG0000004	n550						CNIO.Cnig_chr_I.g310, CNIO.Cnig_chr_X.g25387							
N11.HOG0000162	OG0000004	n554						CNIO.Cnig_chr_X.g25705							
N11.HOG0000163	OG0000004	n561						CNIO.Cnig_chr_II.g7989, CNIO.Cnig_chr_V.g20552, CNIO.Cnig_chr_V.g22101, CNIO.Cnig_chr_X.g24745, CNIO.nigoni.pc_2016.07.11_012.g27666							
N11.HOG0000164	OG0000004	n565						CNIO.Cnig_chr_V.g22102, CNIO.nigoni.pc_2016.07.11_012.g27667							
N11.HOG0000165	OG0000004	n585						CNIO.Cnig_chr_I.g2092, CNIO.Cnig_chr_V.g21341, CNIO.Cnig_chr_X.g25619							
N11.HOG0000166	OG0000006	n14						CNIO.Cni-srh-39, CNIO.Cnig_chr_V.g19378							
N11.HOG0000167	OG0000006	n23			CBRI.L5515_008296			CNIO.Cni-srh-76							
N11.HOG0000168	OG0000006	n27						CNIO.Cnig_chr_III.g11662							
N11.HOG0000169	OG0000006	n41						CNIO.Cnig_chr_II.g7226, CNIO.Cnig_chr_II.g7540							
N11.HOG0000170	OG0000006	n43			CBRI.L5515_007896										
N11.HOG0000171	OG0000006	n66			CBRI.L5515_007231			CNIO.Cnig_chr_V.g18462							
N11.HOG0000172	OG0000006	n78						CNIO.Cni-srh-45							
N11.HOG0000173	OG0000006	n80						CNIO.Cnig_chr_II.g5901							
N11.HOG0000174	OG0000006	n94			CBRI.L5515_007018			CNIO.Cnig_chr_V.g18175							
N11.HOG0000175	OG0000006	n101			CBRI.L5515_007019										
N11.HOG0000176	OG0000006	n102						CNIO.Cnig_chr_V.g18176							
N11.HOG0000177	OG0000006	n103			CBRI.L5515_007021			CNIO.Cnig_chr_V.g18177, CNIO.Cnig_chr_V.g18179							
N11.HOG0000178	OG0000006	n108			CBRI.L5515_007840			CNIO.Cnig_chr_V.g19214, CNIO.Cnig_chr_V.g19215							
N11.HOG0000179	OG0000006	n114						CNIO.Cnig_chr_X.g26356, CNIO.Cnig_chr_X.g26359							
N11.HOG0000180	OG0000006	n122						CNIO.Cnig_chr_V.g19361							
N11.HOG0000181	OG0000006	n124			CBRI.L5515_007967			CNIO.Cnig_chr_V.g19362							
N11.HOG0000182	OG0000006	n165			CBRI.L5515_007394			CNIO.Cnig_chr_V.g18652							
N11.HOG0000183	OG0000006	n170			CBRI.L5515_007392			CNIO.Cnig_chr_V.g18650							
N11.HOG0000184	OG0000006	n173			CBRI.L5515_007168, CBRI.L5515_007169			CNIO.Cnig_chr_V.g18393							
N11.HOG0000185	OG0000006	n183			CBRI.L5515_005212			CNIO.Cnig_chr_III.g11361							
N11.HOG0000186	OG0000006	n188						CNIO.Cnig_chr_V.g20936, CNIO.Cnig_chr_V.g20937, CNIO.Cnig_chr_V.g20938, CNIO.Cnig_chr_V.g20939, CNIO.Cnig_chr_V.g21318							
N11.HOG0000187	OG0000006	n210			CBRI.L5515_006415, CBRI.L5515_006541										
N11.HOG0000188	OG0000006	n217						CNIO.Cnig_chr_V.g17475, CNIO.Cnig_chr_V.g17478							
N11.HOG0000189	OG0000006	n219						CNIO.Cnig_chr_V.g20907							
N11.HOG0000190	OG0000006	n220						CNIO.Cni-srh-229, CNIO.Cnig_chr_V.g17614							
N11.HOG0000191	OG0000006	n237						CNIO.Cnig_chr_V.g21405							
N11.HOG0000192	OG0000006	n243			CBRI.L5515_006692			CNIO.Cnig_chr_V.g17749							
N11.HOG0000193	OG0000006	n247						CNIO.Cnig_chr_V.g17708							
N11.HOG0000194	OG0000006	n253						CNIO.Cnig_chr_V.g19216							
N11.HOG0000195	OG0000006	n258			CBRI.L5515_009590			CNIO.nigoni.pc_2016.07.11_007.g26861							
N11.HOG0000196	OG0000006	n288			CBRI.L5515_009162			CNIO.Cnig_chr_V.g20845							
N11.HOG0000197	OG0000006	n294			CBRI.L5515_009438			CNIO.Cnig_chr_V.g21312							
N11.HOG0000198	OG0000006	n298			CBRI.L5515_009272			CNIO.Cnig_chr_V.g21024, CNIO.Cnig_chr_V.g21027							
N11.HOG0000199	OG0000006	n305			CBRI.L5515_006605										
N11.HOG0000200	OG0000006	n313			CBRI.L5515_006086			CNIO.Cnig_chr_V.g17924							
N11.HOG0000201	OG0000006	n316			CBRI.L5515_006371, CBRI.L5515_006372			CNIO.Cnig_chr_V.g17254, CNIO.Cnig_chr_V.g17521, CNIO.Cnig_chr_V.g17920, CNIO.Cnig_chr_V.g17921, CNIO.Cnig_chr_V.g17922							
N11.HOG0000202	OG0000006	n333			CBRI.L5515_006834			CNIO.Cnig_chr_V.g17916							
N11.HOG0000203	OG0000006	n341			CBRI.L5515_006824			CNIO.Cnig_chr_V.g17906							
N11.HOG0000204	OG0000006	n343			CBRI.L5515_006825			CNIO.Cnig_chr_V.g17907							
N11.HOG0000205	OG0000006	n346			CBRI.L5515_006823			CNIO.Cnig_chr_V.g17905							
N11.HOG0000206	OG0000006	n349			CBRI.L5515_009261			CNIO.Cnig_chr_V.g21013							
N11.HOG0000207	OG0000006	n351						CNIO.Cnig_chr_V.g17311							
N11.HOG0000208	OG0000006	n368			CBRI.L5515_006536										
N11.HOG0000209	OG0000006	n375			CBRI.L5515_006530										
N11.HOG0000210	OG0000006	n377			CBRI.L5515_009208			CNIO.Cnig_chr_V.g20908							
N11.HOG0000211	OG0000006	n379			CBRI.L5515_010398			CNIO.Cnig_chr_V.g17233, CNIO.Cnig_chr_V.g17234, CNIO.Cnig_chr_V.g17726							
N11.HOG0000212	OG0000006	n404			CBRI.L5515_007966			CNIO.Cnig_chr_V.g19360							
N11.HOG0000213	OG0000006	n406			CBRI.L5515_006609			CNIO.Cnig_chr_V.g16914							
N11.HOG0000214	OG0000006	n413			CBRI.L5515_006073										
N11.HOG0000215	OG0000006	n431			CBRI.L5515_006826			CNIO.Cnig_chr_V.g17304							
N11.HOG0000216	OG0000006	n443			CBRI.L5515_006827			CNIO.Cnig_chr_V.g17908, CNIO.Cnig_chr_V.g17909, CNIO.Cnig_chr_V.g17910							
N11.HOG0000217	OG0000006	n453			CBRI.L5515_006851, CBRI.L5515_006852			CNIO.Cnig_chr_V.g17955							
N11.HOG0000218	OG0000006	n456			CBRI.L5515_006295			CNIO.Cnig_chr_V.g16793, CNIO.Cnig_chr_V.g17147							
N11.HOG0000219	OG0000006	n463			CBRI.L5515_007142										
N11.HOG0000220	OG0000006	n468			CBRI.L5515_006546										
N11.HOG0000221	OG0000006	n473			CBRI.L5515_015016										
N11.HOG0000222	OG0000007	n5			CBRI.L5515_012295			CNIO.Cni-ugt-45							
N11.HOG0000223	OG0000007	n208			CBRI.L5515_010953			CNIO.Cnig_chr_IV.g13505							
N11.HOG0000224	OG0000007	n212			CBRI.L5515_010933			CNIO.Cnig_chr_IV.g13471							
N11.HOG0000225	OG0000007	n215			CBRI.L5515_010459			CNIO.Cnig_chr_IV.g12719							
N11.HOG0000226	OG0000007	n221			CBRI.L5515_010724			CNIO.Cnig_chr_IV.g13178							
N11.HOG0000227	OG0000007	n224			CBRI.L5515_010935			CNIO.Cnig_chr_IV.g13475							
N11.HOG0000228	OG0000007	n229			CBRI.L5515_016673			CNIO.Cnig_chr_X.g22958							
N11.HOG0000229	OG0000007	n237			CBRI.L5515_008509			CNIO.Cnig_chr_V.g19995							
