HOG	OG	Gene Tree Parent Clade	BLOB	DELA	EAND	HMAN	MVUL	NNAJ	PCOS	SCAV
N4.HOG0000010	OG0000009	n1				HMAN.evm.TU.Chr11.900, HMAN.evm.TU.Chr12.100, HMAN.evm.TU.Chr12.101, HMAN.evm.TU.Chr12.102, HMAN.evm.TU.Chr12.103, HMAN.evm.TU.Chr12.108, HMAN.evm.TU.Chr12.109, HMAN.evm.TU.Chr12.110, HMAN.evm.TU.Chr12.111, HMAN.evm.TU.Chr12.112, HMAN.evm.TU.Chr12.113, HMAN.evm.TU.Chr12.115, HMAN.evm.TU.Chr12.116, HMAN.evm.TU.Chr12.117, HMAN.evm.TU.Chr12.118, HMAN.evm.TU.Chr12.119, HMAN.evm.TU.Chr12.120, HMAN.evm.TU.Chr12.121, HMAN.evm.TU.Chr12.122, HMAN.evm.TU.Chr12.123, HMAN.evm.TU.Chr12.124, HMAN.evm.TU.Chr12.125, HMAN.evm.TU.Chr12.135, HMAN.evm.TU.Chr12.136, HMAN.evm.TU.Chr12.137, HMAN.evm.TU.Chr12.138, HMAN.evm.TU.Chr12.139, HMAN.evm.TU.Chr12.140, HMAN.evm.TU.Chr12.142, HMAN.evm.TU.Chr12.143, HMAN.evm.TU.Chr12.144, HMAN.evm.TU.Chr12.145, HMAN.evm.TU.Chr12.146, HMAN.evm.TU.Chr12.147, HMAN.evm.TU.Chr12.148, HMAN.evm.TU.Chr12.149, HMAN.evm.TU.Chr12.152, HMAN.evm.TU.Chr12.159, HMAN.evm.TU.Chr12.170, HMAN.evm.TU.Chr12.171, HMAN.evm.TU.Chr12.172, HMAN.evm.TU.Chr12.174, HMAN.evm.TU.Chr12.176, HMAN.evm.TU.Chr12.178, HMAN.evm.TU.Chr12.179, HMAN.evm.TU.Chr12.199, HMAN.evm.TU.Chr12.22, HMAN.evm.TU.Chr12.258, HMAN.evm.TU.Chr12.301, HMAN.evm.TU.Chr12.302, HMAN.evm.TU.Chr12.303, HMAN.evm.TU.Chr12.310, HMAN.evm.TU.Chr12.37, HMAN.evm.TU.Chr12.44, HMAN.evm.TU.Chr12.45, HMAN.evm.TU.Chr12.594, HMAN.evm.TU.Chr12.596, HMAN.evm.TU.Chr12.598, HMAN.evm.TU.Chr12.599, HMAN.evm.TU.Chr12.600, HMAN.evm.TU.Chr12.603, HMAN.evm.TU.Chr12.72, HMAN.evm.TU.Chr12.73, HMAN.evm.TU.Chr12.74, HMAN.evm.TU.Chr12.75, HMAN.evm.TU.Chr12.76, HMAN.evm.TU.Chr12.77, HMAN.evm.TU.Chr12.78, HMAN.evm.TU.Chr12.79, HMAN.evm.TU.Chr12.80, HMAN.evm.TU.Chr12.81, HMAN.evm.TU.Chr12.82, HMAN.evm.TU.Chr12.89, HMAN.evm.TU.Chr12.90, HMAN.evm.TU.Chr12.91, HMAN.evm.TU.Chr12.94, HMAN.evm.TU.Chr12.95, HMAN.evm.TU.Chr12.96, HMAN.evm.TU.Chr12.97, HMAN.evm.TU.Chr12.98, HMAN.evm.TU.Chr12.99, HMAN.evm.TU.Chr13.671, HMAN.evm.TU.Chr2.59, HMAN.evm.TU.Chr3.1226, HMAN.evm.TU.Chr3.1626, HMAN.evm.TU.Chr3.1702, HMAN.evm.TU.Chr4.628, HMAN.evm.TU.Chr4.800, HMAN.evm.TU.Chr6.406, HMAN.evm.TU.Chr7.169, HMAN.evm.TU.Chr7.772, HMAN.evm.TU.Unplaced39.1, HMAN.evm.TU.Unplaced39.2, HMAN.evm.TU.Unplaced51.1, HMAN.evm.TU.Unplaced51.2				SCAV.g10186, SCAV.g10582, SCAV.g11511, SCAV.g124, SCAV.g1482, SCAV.g15698, SCAV.g4544, SCAV.g4546, SCAV.g4557, SCAV.g4562, SCAV.g4599, SCAV.g4916, SCAV.g5047, SCAV.g6812, SCAV.g7059, SCAV.g7060, SCAV.g7064, SCAV.g7276, SCAV.g7335, SCAV.g7347, SCAV.g7348, SCAV.g7374, SCAV.g7377, SCAV.g7391, SCAV.g7408, SCAV.g7409, SCAV.g7410, SCAV.g7411, SCAV.g7412, SCAV.g7415, SCAV.g7416, SCAV.g7428, SCAV.g7429, SCAV.g7433, SCAV.g7504, SCAV.g7711, SCAV.g7712, SCAV.g7744, SCAV.g7745, SCAV.g7748, SCAV.g7758, SCAV.g7760, SCAV.g7761, SCAV.g7762, SCAV.g8038, SCAV.g8098, SCAV.g8099, SCAV.g8133, SCAV.g8778, SCAV.g8863
N4.HOG0000011	OG0000009	n146				HMAN.evm.TU.Chr12.114			PCOS.g383	
N4.HOG0000012	OG0000010	n1				HMAN.evm.TU.Chr4.65			PCOS.g5344	
N4.HOG0000013	OG0000010	n9				HMAN.evm.TU.Chr8.56			PCOS.g5218	
N4.HOG0000014	OG0000010	n12				HMAN.evm.TU.Chr8.227, HMAN.evm.TU.Chr8.228, HMAN.evm.TU.Chr8.70			PCOS.g11122	SCAV.g2388
N4.HOG0000015	OG0000010	n16				HMAN.evm.TU.Chr1.1305, HMAN.evm.TU.Chr1.1451, HMAN.evm.TU.Chr1.1522, HMAN.evm.TU.Chr2.723, HMAN.evm.TU.Chr7.762, HMAN.evm.TU.Chr7.763, HMAN.evm.TU.Chr7.765, HMAN.evm.TU.Chr7.829, HMAN.evm.TU.Chr7.834, HMAN.evm.TU.Chr7.835, HMAN.evm.TU.Chr7.839, HMAN.evm.TU.Chr8.1010, HMAN.evm.TU.Chr8.190, HMAN.evm.TU.Chr8.272, HMAN.evm.TU.Chr8.273, HMAN.evm.TU.Chr8.274, HMAN.evm.TU.Chr8.275, HMAN.evm.TU.Chr8.54			PCOS.g2662, PCOS.g2663	SCAV.g1224, SCAV.g2343, SCAV.g9840
N4.HOG0000016	OG0000010	n38				HMAN.evm.TU.Chr8.180, HMAN.evm.TU.Chr8.38, HMAN.evm.TU.Chr8.52				SCAV.g1133, SCAV.g1242
N4.HOG0000017	OG0000010	n42							PCOS.g7543	SCAV.g10418
N4.HOG0000018	OG0000010	n43				HMAN.evm.TU.Chr8.26, HMAN.evm.TU.Chr8.271			PCOS.g1024, PCOS.g1025, PCOS.g12892, PCOS.g12895, PCOS.g12903, PCOS.g12906, PCOS.g12908, PCOS.g12909, PCOS.g1502, PCOS.g1505, PCOS.g1507, PCOS.g1716, PCOS.g1717, PCOS.g1756, PCOS.g2791, PCOS.g2792, PCOS.g4262, PCOS.g5205, PCOS.g5206, PCOS.g5207, PCOS.g5208, PCOS.g5209, PCOS.g5210, PCOS.g5211, PCOS.g5216, PCOS.g5217, PCOS.g5219, PCOS.g5343	SCAV.g1300
N4.HOG0000019	OG0000011	n0				HMAN.evm.TU.Chr13.348				SCAV.g10254
N4.HOG0000020	OG0000013	n0				HMAN.evm.TU.Chr4.114			PCOS.g6455	SCAV.g12780
N4.HOG0000021	OG0000014	n0				HMAN.evm.TU.Chr4.1455, HMAN.evm.TU.Chr4.1456, HMAN.evm.TU.Chr4.1458, HMAN.evm.TU.Chr4.1459, HMAN.evm.TU.Chr4.1460, HMAN.evm.TU.Chr4.1463, HMAN.evm.TU.Chr4.718, HMAN.evm.TU.Chr4.719			PCOS.g5220	SCAV.g11990, SCAV.g13212, SCAV.g14317, SCAV.g14323, SCAV.g14362
N4.HOG0000022	OG0000015	n0								SCAV.g7178
N4.HOG0000023	OG0000017	n0							PCOS.g10857	SCAV.g1079, SCAV.g3367
N4.HOG0000024	OG0000020	n0							PCOS.g5131, PCOS.g7380	
N4.HOG0000025	OG0000022	n0				HMAN.evm.TU.Chr8.160			PCOS.g11744, PCOS.g11760	SCAV.g1159
N4.HOG0000026	OG0000023	n0				HMAN.evm.TU.Chr2.186				
N4.HOG0000027	OG0000024	n0				HMAN.evm.TU.Chr2.1524			PCOS.g11508	SCAV.g4108
N4.HOG0000028	OG0000025	n2				HMAN.evm.TU.Chr4.45, HMAN.evm.TU.Chr4.76				SCAV.g12110, SCAV.g4296
N4.HOG0000029	OG0000025	n7				HMAN.evm.TU.Chr4.60, HMAN.evm.TU.Chr4.84			PCOS.g262, PCOS.g264, PCOS.g6565, PCOS.g6566, PCOS.g6567, PCOS.g6568, PCOS.g6569, PCOS.g6571	SCAV.g12123, SCAV.g14375, SCAV.g14376, SCAV.g2261, SCAV.g2293
N4.HOG0000030	OG0000026	n6				HMAN.evm.TU.Chr12.141, HMAN.evm.TU.Chr2.653, HMAN.evm.TU.Chr8.499			PCOS.g4951	SCAV.g1017, SCAV.g1019, SCAV.g1020, SCAV.g1021, SCAV.g10219, SCAV.g1022, SCAV.g1023, SCAV.g1029, SCAV.g1032, SCAV.g10372, SCAV.g10373, SCAV.g10374, SCAV.g1041, SCAV.g1042, SCAV.g10548, SCAV.g10550, SCAV.g10552, SCAV.g10554, SCAV.g10629, SCAV.g10733, SCAV.g1081, SCAV.g1082, SCAV.g1153, SCAV.g11531, SCAV.g1154, SCAV.g1155, SCAV.g1246, SCAV.g1264, SCAV.g1288, SCAV.g1289, SCAV.g1290, SCAV.g13398, SCAV.g1360, SCAV.g14281, SCAV.g14282, SCAV.g14283, SCAV.g14284, SCAV.g14285, SCAV.g14286, SCAV.g16057, SCAV.g16058, SCAV.g2581, SCAV.g3326, SCAV.g3933, SCAV.g3934, SCAV.g3951, SCAV.g3997, SCAV.g3998, SCAV.g4000, SCAV.g4131, SCAV.g4194, SCAV.g4293, SCAV.g4923, SCAV.g6095, SCAV.g619, SCAV.g6329, SCAV.g6365, SCAV.g6432, SCAV.g6449, SCAV.g6504, SCAV.g7763, SCAV.g7764, SCAV.g7765, SCAV.g7766, SCAV.g7854, SCAV.g7855, SCAV.g7888, SCAV.g7889, SCAV.g7890, SCAV.g7891, SCAV.g8140, SCAV.g8141, SCAV.g8143, SCAV.g8145, SCAV.g8146, SCAV.g8151, SCAV.g8221, SCAV.g8222, SCAV.g8573, SCAV.g87, SCAV.g8828, SCAV.g9287, SCAV.g9305, SCAV.g9306, SCAV.g9480, SCAV.g9536, SCAV.g9595, SCAV.g9645, SCAV.g9710, SCAV.g987
N4.HOG0000031	OG0000026	n98								SCAV.g1040, SCAV.g11891, SCAV.g3999, SCAV.g8142, SCAV.g9663
N4.HOG0000032	OG0000026	n103							PCOS.g6264	SCAV.g1024, SCAV.g2656
N4.HOG0000033	OG0000027	n0							PCOS.g6600	SCAV.g4047
N4.HOG0000034	OG0000028	n0				HMAN.evm.TU.Chr2.1062				
N4.HOG0000035	OG0000030	n0				HMAN.evm.TU.Chr10.160, HMAN.evm.TU.Chr10.161, HMAN.evm.TU.Chr10.162, HMAN.evm.TU.Chr10.163, HMAN.evm.TU.Chr10.164, HMAN.evm.TU.Chr10.185, HMAN.evm.TU.Chr10.186, HMAN.evm.TU.Chr10.187, HMAN.evm.TU.Chr10.53			PCOS.g8759, PCOS.g8962	SCAV.g8604
N4.HOG0000036	OG0000032	n0								SCAV.g1330
N4.HOG0000037	OG0000034	n0							PCOS.g10153	
N4.HOG0000038	OG0000035	n0				HMAN.evm.TU.Chr9.630				
N4.HOG0000039	OG0000036	n2				HMAN.evm.TU.Chr4.1144			PCOS.g4670	SCAV.g12200
N4.HOG0000040	OG0000036	n4				HMAN.evm.TU.Chr4.933			PCOS.g5031	
N4.HOG0000041	OG0000038	n0								SCAV.g9065
N4.HOG0000042	OG0000039	n0				HMAN.evm.TU.Chr6.1134			PCOS.g2	
N4.HOG0000043	OG0000040	n0				HMAN.evm.TU.Unplaced93.1				
N4.HOG0000044	OG0000041	n0				HMAN.evm.TU.Chr13.418				SCAV.g7990
N4.HOG0000045	OG0000044	n0				HMAN.evm.TU.Chr1.773			PCOS.g7708	SCAV.g10954
N4.HOG0000046	OG0000046	n0				HMAN.evm.TU.Chr2.1588, HMAN.evm.TU.Chr3.597, HMAN.evm.TU.Chr3.600, HMAN.evm.TU.Chr3.601, HMAN.evm.TU.Chr3.602, HMAN.evm.TU.Chr3.603, HMAN.evm.TU.Chr3.70, HMAN.evm.TU.Chr3.71, HMAN.evm.TU.Chr4.541				SCAV.g2728, SCAV.g2746, SCAV.g2747, SCAV.g2748, SCAV.g2783, SCAV.g3693, SCAV.g3694, SCAV.g3885
N4.HOG0000047	OG0000047	n0								SCAV.g10828, SCAV.g10829, SCAV.g10830, SCAV.g10831, SCAV.g10832, SCAV.g10833, SCAV.g10834, SCAV.g10835, SCAV.g10836, SCAV.g10837, SCAV.g10838, SCAV.g10839, SCAV.g10840, SCAV.g10841, SCAV.g10842, SCAV.g10843, SCAV.g10844, SCAV.g10845, SCAV.g10846, SCAV.g10847, SCAV.g10848, SCAV.g10849, SCAV.g10850, SCAV.g10851, SCAV.g10852, SCAV.g10853, SCAV.g10854, SCAV.g10855, SCAV.g10856, SCAV.g10857, SCAV.g10858, SCAV.g10859, SCAV.g10860, SCAV.g10861, SCAV.g10862, SCAV.g10863, SCAV.g10864, SCAV.g10865, SCAV.g10866, SCAV.g10867, SCAV.g10868, SCAV.g10869, SCAV.g10870, SCAV.g10871, SCAV.g10872, SCAV.g10873, SCAV.g10874, SCAV.g10875, SCAV.g10876, SCAV.g10877, SCAV.g10878, SCAV.g10879, SCAV.g10880, SCAV.g10881, SCAV.g10882, SCAV.g10883, SCAV.g10884, SCAV.g10885, SCAV.g10886, SCAV.g10887, SCAV.g10888, SCAV.g10889, SCAV.g10890, SCAV.g10891, SCAV.g10892, SCAV.g10893, SCAV.g10894, SCAV.g10895, SCAV.g10896, SCAV.g10897, SCAV.g10898, SCAV.g10899, SCAV.g10900, SCAV.g10901, SCAV.g10902, SCAV.g10903, SCAV.g10904, SCAV.g10905, SCAV.g10906, SCAV.g10907, SCAV.g10908, SCAV.g10909, SCAV.g10910, SCAV.g13571
N4.HOG0000048	OG0000048	n0								SCAV.g4117, SCAV.g8155
N4.HOG0000049	OG0000052	n0				HMAN.evm.TU.Chr3.1128			PCOS.g12270, PCOS.g12288, PCOS.g1678	SCAV.g4238
N4.HOG0000050	OG0000053	n52				HMAN.evm.TU.Chr3.176			PCOS.g5684	SCAV.g3019
N4.HOG0000051	OG0000053	n55				HMAN.evm.TU.Chr5.1052			PCOS.g1670, PCOS.g1671	SCAV.g13752
N4.HOG0000052	OG0000053	n61				HMAN.evm.TU.Chr5.1278, HMAN.evm.TU.Chr5.1279, HMAN.evm.TU.Chr5.1280, HMAN.evm.TU.Chr5.1281, HMAN.evm.TU.Chr5.1282, HMAN.evm.TU.Chr5.1283, HMAN.evm.TU.Chr5.1286, HMAN.evm.TU.Chr5.1288				SCAV.g13564, SCAV.g13565
N4.HOG0000053	OG0000053	n71				HMAN.evm.TU.Chr3.1581, HMAN.evm.TU.Chr3.1596, HMAN.evm.TU.Chr3.1597				SCAV.g4871, SCAV.g4875
N4.HOG0000054	OG0000054	n0								SCAV.g12828, SCAV.g14216, SCAV.g7820, SCAV.g8149
N4.HOG0000055	OG0000055	n0				HMAN.evm.TU.Chr12.460			PCOS.g5088	
N4.HOG0000056	OG0000056	n0							PCOS.g9882	SCAV.g11374
N4.HOG0000057	OG0000057	n0							PCOS.g9405	
N4.HOG0000058	OG0000059	n0							PCOS.g9977	
N4.HOG0000059	OG0000061	n0							PCOS.g642	
N4.HOG0000060	OG0000062	n0				HMAN.evm.TU.Chr12.420				
N4.HOG0000061	OG0000063	n0							PCOS.g647	
N4.HOG0000062	OG0000064	n0				HMAN.evm.TU.Chr13.240, HMAN.evm.TU.Chr2.439, HMAN.evm.TU.Chr2.440, HMAN.evm.TU.Chr2.441, HMAN.evm.TU.Chr2.443			PCOS.g2153, PCOS.g6417, PCOS.g6418, PCOS.g6419, PCOS.g6420, PCOS.g6421, PCOS.g6422, PCOS.g6423, PCOS.g6424, PCOS.g6425, PCOS.g6426, PCOS.g6427, PCOS.g6428, PCOS.g6431, PCOS.g6432, PCOS.g6433, PCOS.g6461, PCOS.g6462	SCAV.g13355, SCAV.g9214, SCAV.g9216
N4.HOG0000063	OG0000066	n3				HMAN.evm.TU.Chr13.661			PCOS.g12369, PCOS.g12392, PCOS.g7892	
N4.HOG0000064	OG0000066	n6				HMAN.evm.TU.Chr13.662			PCOS.g7893	SCAV.g8154
N4.HOG0000065	OG0000068	n0				HMAN.evm.TU.Chr2.469			PCOS.g10838, PCOS.g11142	SCAV.g9191
N4.HOG0000066	OG0000069	n0				HMAN.evm.TU.Chr7.500, HMAN.evm.TU.Chr7.501, HMAN.evm.TU.Chr7.502, HMAN.evm.TU.Unplaced326.2, HMAN.evm.TU.Unplaced326.3, HMAN.evm.TU.Unplaced326.4				SCAV.g10471, SCAV.g10549, SCAV.g10551, SCAV.g10553, SCAV.g10555, SCAV.g11957, SCAV.g15801, SCAV.g599, SCAV.g6247
N4.HOG0000067	OG0000070	n0							PCOS.g10096, PCOS.g10106, PCOS.g11061, PCOS.g1695, PCOS.g1987, PCOS.g3743, PCOS.g518, PCOS.g622, PCOS.g6601, PCOS.g7997, PCOS.g8323	
N4.HOG0000068	OG0000072	n4				HMAN.evm.TU.Chr10.851, HMAN.evm.TU.Chr10.856, HMAN.evm.TU.Chr10.857, HMAN.evm.TU.Chr10.858, HMAN.evm.TU.Chr10.859, HMAN.evm.TU.Chr10.860, HMAN.evm.TU.Chr10.861, HMAN.evm.TU.Chr10.862, HMAN.evm.TU.Chr10.863, HMAN.evm.TU.Chr10.864, HMAN.evm.TU.Chr10.865, HMAN.evm.TU.Chr10.866, HMAN.evm.TU.Chr10.867, HMAN.evm.TU.Chr10.868, HMAN.evm.TU.Chr10.869, HMAN.evm.TU.Chr10.870, HMAN.evm.TU.Chr10.872			PCOS.g9080, PCOS.g9081, PCOS.g9082, PCOS.g9083	SCAV.g1409, SCAV.g1410, SCAV.g1411, SCAV.g1412, SCAV.g1417, SCAV.g1418, SCAV.g1419, SCAV.g1420, SCAV.g1421, SCAV.g1422, SCAV.g1431, SCAV.g1432, SCAV.g1433, SCAV.g1434, SCAV.g1440
N4.HOG0000069	OG0000072	n39				HMAN.evm.TU.Chr10.847, HMAN.evm.TU.Chr10.848, HMAN.evm.TU.Chr10.850, HMAN.evm.TU.Chr10.852, HMAN.evm.TU.Chr10.853, HMAN.evm.TU.Chr10.854, HMAN.evm.TU.Chr10.873, HMAN.evm.TU.Chr10.874, HMAN.evm.TU.Chr10.876, HMAN.evm.TU.Unplaced254.2			PCOS.g9071, PCOS.g9072, PCOS.g9079	SCAV.g1404, SCAV.g1405, SCAV.g1406, SCAV.g1407, SCAV.g1408, SCAV.g1413, SCAV.g1414, SCAV.g1415, SCAV.g1416, SCAV.g1423, SCAV.g1424, SCAV.g1427, SCAV.g1429, SCAV.g1430
N4.HOG0000070	OG0000073	n0				HMAN.evm.TU.Chr1.1281, HMAN.evm.TU.Chr1.1282, HMAN.evm.TU.Chr1.342, HMAN.evm.TU.Chr12.186, HMAN.evm.TU.Chr12.211, HMAN.evm.TU.Chr12.219, HMAN.evm.TU.Chr12.220, HMAN.evm.TU.Chr12.350, HMAN.evm.TU.Chr12.993, HMAN.evm.TU.Chr12.994, HMAN.evm.TU.Chr13.230, HMAN.evm.TU.Chr13.69, HMAN.evm.TU.Chr13.88, HMAN.evm.TU.Chr13.89, HMAN.evm.TU.Chr2.849, HMAN.evm.TU.Chr3.1627, HMAN.evm.TU.Chr4.152, HMAN.evm.TU.Chr4.205, HMAN.evm.TU.Chr4.206, HMAN.evm.TU.Chr4.207, HMAN.evm.TU.Chr4.4, HMAN.evm.TU.Chr4.524, HMAN.evm.TU.Chr4.525, HMAN.evm.TU.Chr4.557, HMAN.evm.TU.Chr4.558, HMAN.evm.TU.Chr4.559, HMAN.evm.TU.Chr4.682, HMAN.evm.TU.Chr4.797, HMAN.evm.TU.Chr5.1325, HMAN.evm.TU.Chr5.1326, HMAN.evm.TU.Chr6.237, HMAN.evm.TU.Chr6.295, HMAN.evm.TU.Chr6.306, HMAN.evm.TU.Chr6.555, HMAN.evm.TU.Chr6.927, HMAN.evm.TU.Chr7.67, HMAN.evm.TU.Chr7.741, HMAN.evm.TU.Chr7.742, HMAN.evm.TU.Chr7.885, HMAN.evm.TU.Chr7.888, HMAN.evm.TU.Chr7.889, HMAN.evm.TU.Chr7.892, HMAN.evm.TU.Chr7.926, HMAN.evm.TU.Chr7.967, HMAN.evm.TU.Chr7.968, HMAN.evm.TU.Chr9.808			PCOS.g10638	SCAV.g11799, SCAV.g11817, SCAV.g11818, SCAV.g12691, SCAV.g14034, SCAV.g14143, SCAV.g344, SCAV.g3820, SCAV.g3831, SCAV.g4187, SCAV.g5315, SCAV.g5342, SCAV.g5368, SCAV.g7255, SCAV.g8419
