HOG	OG	Gene Tree Parent Clade	BLOB	DELA	EAND	HMAN	MVUL	NNAJ	PCOS	SCAV
N5.HOG0000028	OG0000000	n213			EAND.evm.TU.ctg1008.1, EAND.evm.TU.ctg2824.1, EAND.evm.TU.ctg2824.2			NNAJ.FUN_043959, NNAJ.FUN_043961, NNAJ.FUN_043964, NNAJ.FUN_043965, NNAJ.FUN_043966		
N5.HOG0000029	OG0000000	n229			EAND.evm.TU.Chr03.970, EAND.evm.TU.Chr03.971					
N5.HOG0000030	OG0000000	n231			EAND.evm.TU.Chr03.969, EAND.evm.TU.ctg1802.3			NNAJ.FUN_031002		
N5.HOG0000031	OG0000000	n234			EAND.evm.TU.Chr03.2835, EAND.evm.TU.Chr03.966, EAND.evm.TU.Chr03.967					
N5.HOG0000032	OG0000000	n237			EAND.evm.TU.Chr03.963, EAND.evm.TU.ctg4423.1, EAND.evm.TU.ctg5428.1			NNAJ.FUN_031007, NNAJ.FUN_031008		
N5.HOG0000033	OG0000000	n241			EAND.evm.TU.Chr02.3554, EAND.evm.TU.Chr03.964, EAND.evm.TU.Chr03.965, EAND.evm.TU.Chr04.2686, EAND.evm.TU.Chr10.1837, EAND.evm.TU.Chr10.1839			NNAJ.FUN_005777, NNAJ.FUN_031003, NNAJ.FUN_031004, NNAJ.FUN_031005, NNAJ.FUN_031006		
N5.HOG0000034	OG0000001	n25			EAND.evm.TU.Chr06.1241, EAND.evm.TU.Chr06.1242			NNAJ.FUN_040594		
N5.HOG0000035	OG0000001	n28			EAND.evm.TU.Chr10.1374, EAND.evm.TU.Chr10.1375, EAND.evm.TU.Chr10.1378, EAND.evm.TU.Chr10.1699, EAND.evm.TU.Chr10.1700, EAND.evm.TU.Chr10.1701			NNAJ.FUN_026073		
N5.HOG0000036	OG0000001	n39			EAND.evm.TU.ctg1167.14			NNAJ.FUN_000261		
N5.HOG0000037	OG0000001	n42			EAND.evm.TU.Chr01.391			NNAJ.FUN_000314, NNAJ.FUN_000316, NNAJ.FUN_000317, NNAJ.FUN_000326, NNAJ.FUN_000327, NNAJ.FUN_000329, NNAJ.FUN_000333, NNAJ.FUN_000509, NNAJ.FUN_000512		
N5.HOG0000038	OG0000001	n62			EAND.evm.TU.Chr01.301, EAND.evm.TU.Chr01.302, EAND.evm.TU.Chr01.303, EAND.evm.TU.Chr01.304, EAND.evm.TU.Chr01.305, EAND.evm.TU.Chr01.306, EAND.evm.TU.Chr01.310, EAND.evm.TU.Chr01.312, EAND.evm.TU.Chr01.313, EAND.evm.TU.Chr01.314, EAND.evm.TU.Chr01.383, EAND.evm.TU.Chr01.385, EAND.evm.TU.ctg5016.2, EAND.evm.TU.ctg5163.1, EAND.evm.TU.ctg6395.1			NNAJ.FUN_000193, NNAJ.FUN_000197, NNAJ.FUN_000200, NNAJ.FUN_000208, NNAJ.FUN_000222, NNAJ.FUN_000360, NNAJ.FUN_000361, NNAJ.FUN_000363		
N5.HOG0000039	OG0000001	n84			EAND.evm.TU.Chr01.294, EAND.evm.TU.Chr01.298, EAND.evm.TU.Chr01.299, EAND.evm.TU.Chr01.308, EAND.evm.TU.Chr01.309, EAND.evm.TU.ctg4688.1			NNAJ.FUN_000209, NNAJ.FUN_000210, NNAJ.FUN_000212, NNAJ.FUN_000214, NNAJ.FUN_000216, NNAJ.FUN_000217, NNAJ.FUN_000218, NNAJ.FUN_000220, NNAJ.FUN_000223		
N5.HOG0000040	OG0000001	n98			EAND.evm.TU.Chr01.392, EAND.evm.TU.Chr01.393, EAND.evm.TU.Chr01.394, EAND.evm.TU.Chr01.395, EAND.evm.TU.Chr01.401, EAND.evm.TU.Chr01.513, EAND.evm.TU.Chr01.514, EAND.evm.TU.Chr01.516, EAND.evm.TU.Chr01.517, EAND.evm.TU.Chr01.518, EAND.evm.TU.Chr01.519, EAND.evm.TU.Chr01.520, EAND.evm.TU.Chr01.522, EAND.evm.TU.Chr01.524, EAND.evm.TU.Chr01.525, EAND.evm.TU.Chr06.1108, EAND.evm.TU.Chr10.694, EAND.evm.TU.ctg2672.1, EAND.evm.TU.ctg2672.2, EAND.evm.TU.ctg2672.3			NNAJ.FUN_000257, NNAJ.FUN_000301, NNAJ.FUN_000321, NNAJ.FUN_000328, NNAJ.FUN_000514		
N5.HOG0000041	OG0000001	n126			EAND.evm.TU.Chr04.1207			NNAJ.FUN_022623		
N5.HOG0000042	OG0000001	n129			EAND.evm.TU.Chr09.1686, EAND.evm.TU.Chr09.1687, EAND.evm.TU.Chr09.1692, EAND.evm.TU.Chr09.1693			NNAJ.FUN_026945		
N5.HOG0000043	OG0000001	n139			EAND.evm.TU.Chr04.1219, EAND.evm.TU.Chr04.1221, EAND.evm.TU.Chr04.1242, EAND.evm.TU.Chr04.2694			NNAJ.FUN_022612, NNAJ.FUN_022617, NNAJ.FUN_022618, NNAJ.FUN_022619, NNAJ.FUN_022621, NNAJ.FUN_022622		
N5.HOG0000044	OG0000001	n152			EAND.evm.TU.Chr02.3128, EAND.evm.TU.Chr07.2217, EAND.evm.TU.ctg2451.1, EAND.evm.TU.ctg3369.1, EAND.evm.TU.ctg3952.1			NNAJ.FUN_039185		
N5.HOG0000045	OG0000001	n164						NNAJ.FUN_003586, NNAJ.FUN_022591		
N5.HOG0000046	OG0000001	n168			EAND.evm.TU.Chr01.100, EAND.evm.TU.Chr05.186			NNAJ.FUN_022579		
N5.HOG0000047	OG0000001	n171						NNAJ.FUN_022583		
N5.HOG0000048	OG0000001	n176						NNAJ.FUN_022593, NNAJ.FUN_022595, NNAJ.FUN_022600, NNAJ.FUN_022602		
N5.HOG0000049	OG0000001	n179						NNAJ.FUN_022590, NNAJ.FUN_022599		
N5.HOG0000050	OG0000001	n180						NNAJ.FUN_010959, NNAJ.FUN_022605, NNAJ.FUN_022607, NNAJ.FUN_022608, NNAJ.FUN_022610, NNAJ.FUN_022611, NNAJ.FUN_022613, NNAJ.FUN_022616		
N5.HOG0000051	OG0000001	n187						NNAJ.FUN_022604, NNAJ.FUN_022606, NNAJ.FUN_022609, NNAJ.FUN_022614		
N5.HOG0000052	OG0000001	n190			EAND.evm.TU.Chr02.2322, EAND.evm.TU.Chr02.2323, EAND.evm.TU.Chr04.1211, EAND.evm.TU.Chr04.1223, EAND.evm.TU.Chr04.1224, EAND.evm.TU.Chr04.1225, EAND.evm.TU.Chr04.1243, EAND.evm.TU.Chr04.1246, EAND.evm.TU.Chr04.409, EAND.evm.TU.Chr04.410, EAND.evm.TU.Chr04.412, EAND.evm.TU.Chr04.413, EAND.evm.TU.Chr04.414, EAND.evm.TU.Chr04.415, EAND.evm.TU.ctg3780.1			NNAJ.FUN_022589		
N5.HOG0000053	OG0000001	n206			EAND.evm.TU.Chr04.1208, EAND.evm.TU.Chr04.1209, EAND.evm.TU.Chr04.1210, EAND.evm.TU.Chr04.1212, EAND.evm.TU.Chr04.1213, EAND.evm.TU.Chr04.1214, EAND.evm.TU.Chr04.1216, EAND.evm.TU.Chr04.1217, EAND.evm.TU.Chr04.1218, EAND.evm.TU.Chr04.1222, EAND.evm.TU.Chr04.1226, EAND.evm.TU.Chr04.1245, EAND.evm.TU.Chr04.1247, EAND.evm.TU.Chr04.1248, EAND.evm.TU.Chr04.1250, EAND.evm.TU.Chr04.1292, EAND.evm.TU.Chr04.1293, EAND.evm.TU.Chr04.1295, EAND.evm.TU.ctg3112.1, EAND.evm.TU.ctg3661.1, EAND.evm.TU.ctg4486.1			NNAJ.FUN_022576, NNAJ.FUN_022584, NNAJ.FUN_022585, NNAJ.FUN_022586		
N5.HOG0000054	OG0000001	n230			EAND.evm.TU.Chr04.1227, EAND.evm.TU.Chr04.1228, EAND.evm.TU.Chr04.1229, EAND.evm.TU.Chr04.1230, EAND.evm.TU.Chr04.1234, EAND.evm.TU.Chr04.1235, EAND.evm.TU.Chr04.1236			NNAJ.FUN_022577, NNAJ.FUN_022578, NNAJ.FUN_022580, NNAJ.FUN_022581, NNAJ.FUN_022582, NNAJ.FUN_022587		
N5.HOG0000055	OG0000002	n40			EAND.evm.TU.Chr07.916					
N5.HOG0000056	OG0000003	n1			EAND.evm.TU.Chr10.1409, EAND.evm.TU.Chr10.1410			NNAJ.FUN_026040		
N5.HOG0000057	OG0000003	n7						NNAJ.FUN_035678, NNAJ.FUN_040097		
N5.HOG0000058	OG0000004	n2			EAND.evm.TU.Chr05.220			NNAJ.FUN_008296		
N5.HOG0000059	OG0000004	n5			EAND.evm.TU.ctg3161.1					
N5.HOG0000060	OG0000004	n12			EAND.evm.TU.Chr05.217, EAND.evm.TU.Chr05.252, EAND.evm.TU.Chr05.265, EAND.evm.TU.Chr05.266			NNAJ.FUN_008249, NNAJ.FUN_008255		
N5.HOG0000061	OG0000004	n17			EAND.evm.TU.Chr05.255, EAND.evm.TU.ctg2300.3			NNAJ.FUN_008253, NNAJ.FUN_008275, NNAJ.FUN_008305		
N5.HOG0000062	OG0000004	n21			EAND.evm.TU.Chr05.256, EAND.evm.TU.Chr05.261, EAND.evm.TU.Chr05.263, EAND.evm.TU.Chr05.264, EAND.evm.TU.Chr05.269, EAND.evm.TU.Chr05.270, EAND.evm.TU.Chr05.273, EAND.evm.TU.Chr05.274, EAND.evm.TU.Chr05.275, EAND.evm.TU.Chr05.276, EAND.evm.TU.ctg1678.1, EAND.evm.TU.ctg2300.1, EAND.evm.TU.ctg2300.4, EAND.evm.TU.ctg2575.1, EAND.evm.TU.ctg4069.1, EAND.evm.TU.ctg4069.2, EAND.evm.TU.ctg4498.1, EAND.evm.TU.ctg5947.1, EAND.evm.TU.ctg5947.2, EAND.evm.TU.ctg6146.1, EAND.evm.TU.ctg6330.1			NNAJ.FUN_008271		
N5.HOG0000063	OG0000004	n44						NNAJ.FUN_008246, NNAJ.FUN_008247, NNAJ.FUN_008248, NNAJ.FUN_008250, NNAJ.FUN_008252, NNAJ.FUN_008254, NNAJ.FUN_008276, NNAJ.FUN_008277, NNAJ.FUN_008278, NNAJ.FUN_008280, NNAJ.FUN_008310, NNAJ.FUN_008313, NNAJ.FUN_008318		
N5.HOG0000064	OG0000004	n57			EAND.evm.TU.Chr05.242, EAND.evm.TU.Chr05.250			NNAJ.FUN_008309, NNAJ.FUN_008317		
N5.HOG0000065	OG0000004	n60			EAND.evm.TU.Chr05.301			NNAJ.FUN_008251		
N5.HOG0000066	OG0000004	n61			EAND.evm.TU.Chr05.213, EAND.evm.TU.Chr05.216, EAND.evm.TU.Chr05.239, EAND.evm.TU.Chr05.244, EAND.evm.TU.Chr05.245, EAND.evm.TU.Chr05.296, EAND.evm.TU.Chr05.297, EAND.evm.TU.Chr05.299, EAND.evm.TU.ctg1819.1			NNAJ.FUN_008307, NNAJ.FUN_008316, NNAJ.FUN_008323		
N5.HOG0000067	OG0000004	n80						NNAJ.FUN_007582		
N5.HOG0000068	OG0000004	n124			EAND.evm.TU.ctg821.1, EAND.evm.TU.ctg821.7					
N5.HOG0000069	OG0000004	n128			EAND.evm.TU.ctg2208.2			NNAJ.FUN_008258, NNAJ.FUN_008259, NNAJ.FUN_008287		
N5.HOG0000070	OG0000004	n131			EAND.evm.TU.Chr05.231, EAND.evm.TU.Chr05.232, EAND.evm.TU.Chr05.233, EAND.evm.TU.Chr05.236, EAND.evm.TU.ctg1224.1, EAND.evm.TU.ctg1366.1, EAND.evm.TU.ctg1552.1, EAND.evm.TU.ctg2787.1, EAND.evm.TU.ctg2948.2, EAND.evm.TU.ctg3492.1			NNAJ.FUN_008289		
N5.HOG0000071	OG0000004	n142			EAND.evm.TU.Chr05.229, EAND.evm.TU.Chr05.234, EAND.evm.TU.ctg2948.3			NNAJ.FUN_008257, NNAJ.FUN_008264, NNAJ.FUN_008285, NNAJ.FUN_008286, NNAJ.FUN_008288, NNAJ.FUN_008290		
N5.HOG0000072	OG0000004	n150			EAND.evm.TU.Chr05.284, EAND.evm.TU.Chr05.291			NNAJ.FUN_008256, NNAJ.FUN_008260, NNAJ.FUN_008262		
N5.HOG0000073	OG0000004	n159			EAND.evm.TU.ctg1843.3			NNAJ.FUN_005979		
N5.HOG0000074	OG0000004	n162						NNAJ.FUN_008391, NNAJ.FUN_008395		
N5.HOG0000075	OG0000004	n164			EAND.evm.TU.ctg883.3, EAND.evm.TU.ctg883.5			NNAJ.FUN_008386, NNAJ.FUN_008387, NNAJ.FUN_008388		
N5.HOG0000076	OG0000004	n168			EAND.evm.TU.ctg1385.5, EAND.evm.TU.ctg5365.1, EAND.evm.TU.ctg5810.1			NNAJ.FUN_008382, NNAJ.FUN_008384, NNAJ.FUN_008390		
N5.HOG0000077	OG0000004	n173			EAND.evm.TU.ctg1756.3			NNAJ.FUN_008383, NNAJ.FUN_008398		
N5.HOG0000078	OG0000005	n4			EAND.evm.TU.Chr02.1244			NNAJ.FUN_036982, NNAJ.FUN_036995, NNAJ.FUN_036997, NNAJ.FUN_036998		
N5.HOG0000079	OG0000005	n16			EAND.evm.TU.Chr02.1236			NNAJ.FUN_037011		
N5.HOG0000080	OG0000005	n17			EAND.evm.TU.Chr02.1234, EAND.evm.TU.Chr02.1235, EAND.evm.TU.ctg5580.1			NNAJ.FUN_037008		
N5.HOG0000081	OG0000005	n20			EAND.evm.TU.Chr02.1237			NNAJ.FUN_036996, NNAJ.FUN_036999, NNAJ.FUN_037000		
N5.HOG0000082	OG0000005	n25			EAND.evm.TU.Chr02.1241			NNAJ.FUN_036984, NNAJ.FUN_036991		
N5.HOG0000083	OG0000005	n27			EAND.evm.TU.Chr02.1238			NNAJ.FUN_036994		
N5.HOG0000084	OG0000005	n29			EAND.evm.TU.Chr02.1243			NNAJ.FUN_036983		
N5.HOG0000085	OG0000005	n33						NNAJ.FUN_036987, NNAJ.FUN_036988, NNAJ.FUN_036989, NNAJ.FUN_036992, NNAJ.FUN_036993		
N5.HOG0000086	OG0000005	n39			EAND.evm.TU.Chr02.1240			NNAJ.FUN_036985		
N5.HOG0000087	OG0000005	n40			EAND.evm.TU.Chr02.1239			NNAJ.FUN_036986		
N5.HOG0000088	OG0000005	n41			EAND.evm.TU.Chr02.1263, EAND.evm.TU.Chr02.1264, EAND.evm.TU.Chr02.1265, EAND.evm.TU.Chr02.1270, EAND.evm.TU.Chr02.1271, EAND.evm.TU.ctg3545.1, EAND.evm.TU.ctg4263.1, EAND.evm.TU.ctg4263.3, EAND.evm.TU.ctg5182.1			NNAJ.FUN_036939, NNAJ.FUN_036940, NNAJ.FUN_036941, NNAJ.FUN_036942, NNAJ.FUN_036943, NNAJ.FUN_036944, NNAJ.FUN_036946, NNAJ.FUN_036948, NNAJ.FUN_036949, NNAJ.FUN_036951, NNAJ.FUN_036952, NNAJ.FUN_036955, NNAJ.FUN_036956		
N5.HOG0000089	OG0000005	n66			EAND.evm.TU.Chr08.626			NNAJ.FUN_031971		
N5.HOG0000090	OG0000005	n67			EAND.evm.TU.Chr08.627, EAND.evm.TU.Chr08.628, EAND.evm.TU.Chr08.629			NNAJ.FUN_031968, NNAJ.FUN_031973, NNAJ.FUN_031978, NNAJ.FUN_031979		
N5.HOG0000091	OG0000005	n74			EAND.evm.TU.Chr08.632, EAND.evm.TU.Chr08.633, EAND.evm.TU.Chr08.634, EAND.evm.TU.Chr08.635, EAND.evm.TU.Chr08.636					
N5.HOG0000092	OG0000005	n103						NNAJ.FUN_017271, NNAJ.FUN_031909, NNAJ.FUN_031969, NNAJ.FUN_031970, NNAJ.FUN_031972, NNAJ.FUN_037001, NNAJ.FUN_037010		
N5.HOG0000093	OG0000005	n110						NNAJ.FUN_047429		
N5.HOG0000094	OG0000005	n112						NNAJ.FUN_005512, NNAJ.FUN_031910, NNAJ.FUN_031967		
N5.HOG0000095	OG0000005	n115			EAND.evm.TU.Chr08.620, EAND.evm.TU.Chr08.621			NNAJ.FUN_031992		
N5.HOG0000096	OG0000006	n4			EAND.evm.TU.Chr05.1815, EAND.evm.TU.Chr05.1817, EAND.evm.TU.Chr05.1818, EAND.evm.TU.Chr05.2287, EAND.evm.TU.Chr05.2288					
N5.HOG0000097	OG0000006	n9			EAND.evm.TU.Chr01.262, EAND.evm.TU.Chr05.1663, EAND.evm.TU.Chr05.1665, EAND.evm.TU.Chr05.1779, EAND.evm.TU.Chr05.1784, EAND.evm.TU.ctg6430.1					
N5.HOG0000098	OG0000006	n15			EAND.evm.TU.Chr09.1664			NNAJ.FUN_005711		
N5.HOG0000099	OG0000006	n16			EAND.evm.TU.Chr05.1856, EAND.evm.TU.Chr05.1865, EAND.evm.TU.Chr05.2300, EAND.evm.TU.ctg1827.1, EAND.evm.TU.ctg2757.1			NNAJ.FUN_005519		
N5.HOG0000100	OG0000006	n21			EAND.evm.TU.Chr05.1727			NNAJ.FUN_005454, NNAJ.FUN_005465, NNAJ.FUN_005466, NNAJ.FUN_005467, NNAJ.FUN_005532, NNAJ.FUN_005539, NNAJ.FUN_005546, NNAJ.FUN_005558, NNAJ.FUN_005560, NNAJ.FUN_005561, NNAJ.FUN_005563, NNAJ.FUN_005564, NNAJ.FUN_005566, NNAJ.FUN_005570, NNAJ.FUN_005576, NNAJ.FUN_005580, NNAJ.FUN_005586, NNAJ.FUN_005590, NNAJ.FUN_005591, NNAJ.FUN_005603		
N5.HOG0000101	OG0000006	n47			EAND.evm.TU.Chr05.1790, EAND.evm.TU.Chr05.1800, EAND.evm.TU.Chr05.1804			NNAJ.FUN_005416, NNAJ.FUN_005417		
N5.HOG0000102	OG0000006	n51			EAND.evm.TU.Chr05.1827			NNAJ.FUN_000390		
N5.HOG0000103	OG0000006	n53			EAND.evm.TU.Chr05.1809			NNAJ.FUN_005191, NNAJ.FUN_005210		
N5.HOG0000104	OG0000006	n63			EAND.evm.TU.Chr05.1901			NNAJ.FUN_005208		
N5.HOG0000105	OG0000006	n64			EAND.evm.TU.Chr05.1845, EAND.evm.TU.Chr05.1851, EAND.evm.TU.Chr05.1852, EAND.evm.TU.ctg3181.1			NNAJ.FUN_005338		
N5.HOG0000106	OG0000006	n70			EAND.evm.TU.Chr05.1807			NNAJ.FUN_005411, NNAJ.FUN_005413, NNAJ.FUN_005414		
N5.HOG0000107	OG0000006	n76						NNAJ.FUN_005575		
N5.HOG0000108	OG0000006	n80			EAND.evm.TU.Chr05.1526, EAND.evm.TU.Chr05.1602			NNAJ.FUN_006002		
N5.HOG0000109	OG0000006	n82			EAND.evm.TU.Chr05.1596, EAND.evm.TU.Chr05.1600			NNAJ.FUN_005997, NNAJ.FUN_005998, NNAJ.FUN_006003		
N5.HOG0000110	OG0000006	n86			EAND.evm.TU.Chr05.1603, EAND.evm.TU.Chr05.1608			NNAJ.FUN_005995		
N5.HOG0000111	OG0000006	n88			EAND.evm.TU.Chr05.1529			NNAJ.FUN_005965		
N5.HOG0000112	OG0000006	n92			EAND.evm.TU.Chr02.3580, EAND.evm.TU.Chr10.1909			NNAJ.FUN_026259		
N5.HOG0000113	OG0000006	n97						NNAJ.FUN_022136, NNAJ.FUN_026180		
N5.HOG0000114	OG0000006	n102			EAND.evm.TU.Chr08.1094, EAND.evm.TU.Chr11.139			NNAJ.FUN_030094		
N5.HOG0000115	OG0000006	n113			EAND.evm.TU.Chr09.61, EAND.evm.TU.Chr09.66, EAND.evm.TU.Chr10.1750, EAND.evm.TU.Chr10.1829, EAND.evm.TU.Chr10.1844, EAND.evm.TU.Chr10.1861, EAND.evm.TU.ctg4574.1			NNAJ.FUN_025511, NNAJ.FUN_025512, NNAJ.FUN_025514, NNAJ.FUN_025517, NNAJ.FUN_025518, NNAJ.FUN_025519, NNAJ.FUN_025526, NNAJ.FUN_025527, NNAJ.FUN_025531, NNAJ.FUN_025533, NNAJ.FUN_025535, NNAJ.FUN_025536, NNAJ.FUN_025537, NNAJ.FUN_025541, NNAJ.FUN_025542, NNAJ.FUN_025543, NNAJ.FUN_025547, NNAJ.FUN_025552, NNAJ.FUN_025623, NNAJ.FUN_025624, NNAJ.FUN_025625, NNAJ.FUN_025627, NNAJ.FUN_025629, NNAJ.FUN_025630, NNAJ.FUN_025631, NNAJ.FUN_025641, NNAJ.FUN_025642, NNAJ.FUN_025679, NNAJ.FUN_025712, NNAJ.FUN_025719, NNAJ.FUN_025721, NNAJ.FUN_025722, NNAJ.FUN_026189, NNAJ.FUN_035547		
N5.HOG0000116	OG0000006	n153			EAND.evm.TU.Chr10.1987			NNAJ.FUN_025737, NNAJ.FUN_025738, NNAJ.FUN_025739, NNAJ.FUN_025744, NNAJ.FUN_025755, NNAJ.FUN_025758, NNAJ.FUN_025760, NNAJ.FUN_025761, NNAJ.FUN_025776		
N5.HOG0000117	OG0000006	n162			EAND.evm.TU.Chr10.1621, EAND.evm.TU.Chr10.1985			NNAJ.FUN_025779, NNAJ.FUN_025780		
N5.HOG0000118	OG0000006	n165						NNAJ.FUN_025358, NNAJ.FUN_025786, NNAJ.FUN_025840, NNAJ.FUN_026296		
N5.HOG0000119	OG0000006	n168			EAND.evm.TU.Chr10.1877			NNAJ.FUN_026247		
N5.HOG0000120	OG0000008	n3			EAND.evm.TU.Chr01.3827			NNAJ.FUN_005829, NNAJ.FUN_005830, NNAJ.FUN_025696, NNAJ.FUN_035478, NNAJ.FUN_035482, NNAJ.FUN_035533, NNAJ.FUN_044509		
N5.HOG0000121	OG0000008	n13			EAND.evm.TU.Chr01.3776, EAND.evm.TU.Chr01.6			NNAJ.FUN_025686, NNAJ.FUN_025689		
N5.HOG0000122	OG0000008	n19						NNAJ.FUN_005182, NNAJ.FUN_005186, NNAJ.FUN_044476		
N5.HOG0000123	OG0000008	n22						NNAJ.FUN_026178		
N5.HOG0000124	OG0000008	n24			EAND.evm.TU.Chr02.3325, EAND.evm.TU.Chr02.3366, EAND.evm.TU.Chr02.3378, EAND.evm.TU.Chr02.3379, EAND.evm.TU.Chr02.3399, EAND.evm.TU.Chr02.3400, EAND.evm.TU.Chr02.3408, EAND.evm.TU.Chr02.3503, EAND.evm.TU.Chr02.3509, EAND.evm.TU.Chr02.3518, EAND.evm.TU.Chr02.3530, EAND.evm.TU.Chr02.3564, EAND.evm.TU.Chr02.3602, EAND.evm.TU.Chr04.118, EAND.evm.TU.ctg1263.4, EAND.evm.TU.ctg3414.1, EAND.evm.TU.ctg3650.1, EAND.evm.TU.ctg4155.1					
