HOG	OG	Gene Tree Parent Clade	BLOB	DELA	EAND	HMAN	MVUL	NNAJ	PCOS	SCAV
N6.HOG0000026	OG0000009	n51				HMAN.evm.TU.Chr12.147, HMAN.evm.TU.Chr12.148				SCAV.g7374
N6.HOG0000027	OG0000009	n53				HMAN.evm.TU.Chr12.74, HMAN.evm.TU.Chr12.75				SCAV.g7433
N6.HOG0000028	OG0000009	n55				HMAN.evm.TU.Chr12.152				SCAV.g7391, SCAV.g7428
N6.HOG0000029	OG0000009	n61				HMAN.evm.TU.Chr7.772				SCAV.g8863
N6.HOG0000030	OG0000009	n62				HMAN.evm.TU.Chr12.44, HMAN.evm.TU.Chr12.45				SCAV.g7416
N6.HOG0000031	OG0000009	n66				HMAN.evm.TU.Chr12.135, HMAN.evm.TU.Chr12.136, HMAN.evm.TU.Chr12.137, HMAN.evm.TU.Chr12.138, HMAN.evm.TU.Chr12.139, HMAN.evm.TU.Chr12.142, HMAN.evm.TU.Chr12.143, HMAN.evm.TU.Chr12.144, HMAN.evm.TU.Chr12.146, HMAN.evm.TU.Chr12.22, HMAN.evm.TU.Chr12.37, HMAN.evm.TU.Chr12.94, HMAN.evm.TU.Unplaced39.1, HMAN.evm.TU.Unplaced39.2, HMAN.evm.TU.Unplaced51.1				
N6.HOG0000032	OG0000009	n81				HMAN.evm.TU.Chr12.124, HMAN.evm.TU.Chr4.800				SCAV.g7415
N6.HOG0000033	OG0000009	n84				HMAN.evm.TU.Chr12.110				SCAV.g7335
N6.HOG0000034	OG0000009	n85				HMAN.evm.TU.Chr12.112, HMAN.evm.TU.Chr12.113, HMAN.evm.TU.Chr12.115, HMAN.evm.TU.Chr12.116, HMAN.evm.TU.Chr12.117, HMAN.evm.TU.Chr12.118, HMAN.evm.TU.Chr12.119, HMAN.evm.TU.Chr12.120, HMAN.evm.TU.Chr12.121, HMAN.evm.TU.Chr12.122, HMAN.evm.TU.Chr12.123, HMAN.evm.TU.Chr12.125, HMAN.evm.TU.Chr3.1226				SCAV.g7409, SCAV.g7410, SCAV.g7411, SCAV.g7412
N6.HOG0000035	OG0000009	n101				HMAN.evm.TU.Chr11.900, HMAN.evm.TU.Chr12.101, HMAN.evm.TU.Chr12.102, HMAN.evm.TU.Chr12.103, HMAN.evm.TU.Chr12.111, HMAN.evm.TU.Chr12.77, HMAN.evm.TU.Chr12.79, HMAN.evm.TU.Chr12.80, HMAN.evm.TU.Chr12.81, HMAN.evm.TU.Chr12.82, HMAN.evm.TU.Chr12.89, HMAN.evm.TU.Chr12.90, HMAN.evm.TU.Chr12.91, HMAN.evm.TU.Chr2.59, HMAN.evm.TU.Chr6.406				SCAV.g1482, SCAV.g7748
N6.HOG0000036	OG0000009	n117				HMAN.evm.TU.Chr12.149, HMAN.evm.TU.Chr12.159, HMAN.evm.TU.Chr12.171, HMAN.evm.TU.Chr13.671				SCAV.g8098, SCAV.g8133
N6.HOG0000037	OG0000009	n123				HMAN.evm.TU.Chr12.178, HMAN.evm.TU.Chr12.594, HMAN.evm.TU.Chr12.596, HMAN.evm.TU.Chr12.598, HMAN.evm.TU.Chr12.599, HMAN.evm.TU.Chr12.600, HMAN.evm.TU.Chr12.603, HMAN.evm.TU.Chr3.1626, HMAN.evm.TU.Chr3.1702, HMAN.evm.TU.Chr4.628				SCAV.g7060
N6.HOG0000038	OG0000009	n133				HMAN.evm.TU.Chr12.199				SCAV.g7377, SCAV.g7429
N6.HOG0000039	OG0000009	n135				HMAN.evm.TU.Chr12.170, HMAN.evm.TU.Chr12.258				SCAV.g5047
N6.HOG0000040	OG0000009	n137				HMAN.evm.TU.Chr12.78, HMAN.evm.TU.Unplaced51.2				SCAV.g7408
N6.HOG0000041	OG0000009	n139				HMAN.evm.TU.Chr12.109, HMAN.evm.TU.Chr12.140, HMAN.evm.TU.Chr12.95, HMAN.evm.TU.Chr12.96, HMAN.evm.TU.Chr12.97, HMAN.evm.TU.Chr12.98, HMAN.evm.TU.Chr12.99				SCAV.g8778
N6.HOG0000042	OG0000009	n146				HMAN.evm.TU.Chr12.114				
N6.HOG0000043	OG0000010	n1				HMAN.evm.TU.Chr4.65				
N6.HOG0000044	OG0000010	n9				HMAN.evm.TU.Chr8.56				
N6.HOG0000045	OG0000010	n12				HMAN.evm.TU.Chr8.227, HMAN.evm.TU.Chr8.228, HMAN.evm.TU.Chr8.70				SCAV.g2388
N6.HOG0000046	OG0000010	n21				HMAN.evm.TU.Chr1.1305, HMAN.evm.TU.Chr1.1451, HMAN.evm.TU.Chr1.1522, HMAN.evm.TU.Chr2.723, HMAN.evm.TU.Chr7.762, HMAN.evm.TU.Chr7.763, HMAN.evm.TU.Chr7.765, HMAN.evm.TU.Chr7.829, HMAN.evm.TU.Chr7.834, HMAN.evm.TU.Chr7.835, HMAN.evm.TU.Chr7.839, HMAN.evm.TU.Chr8.1010				SCAV.g9840
N6.HOG0000047	OG0000010	n33				HMAN.evm.TU.Chr8.190, HMAN.evm.TU.Chr8.272, HMAN.evm.TU.Chr8.273, HMAN.evm.TU.Chr8.274, HMAN.evm.TU.Chr8.275				SCAV.g2343
N6.HOG0000048	OG0000010	n38				HMAN.evm.TU.Chr8.180, HMAN.evm.TU.Chr8.38, HMAN.evm.TU.Chr8.52				SCAV.g1133, SCAV.g1242
N6.HOG0000049	OG0000010	n42								SCAV.g10418
N6.HOG0000050	OG0000010	n43				HMAN.evm.TU.Chr8.26, HMAN.evm.TU.Chr8.271				SCAV.g1300
N6.HOG0000051	OG0000011	n0				HMAN.evm.TU.Chr13.348				SCAV.g10254
N6.HOG0000052	OG0000013	n0				HMAN.evm.TU.Chr4.114				SCAV.g12780
N6.HOG0000053	OG0000014	n3				HMAN.evm.TU.Chr4.1455, HMAN.evm.TU.Chr4.1456, HMAN.evm.TU.Chr4.1458, HMAN.evm.TU.Chr4.1459, HMAN.evm.TU.Chr4.1460, HMAN.evm.TU.Chr4.1463				SCAV.g13212
N6.HOG0000054	OG0000014	n10				HMAN.evm.TU.Chr4.719				SCAV.g14317, SCAV.g14323, SCAV.g14362
N6.HOG0000055	OG0000014	n13				HMAN.evm.TU.Chr4.718				SCAV.g11990
N6.HOG0000056	OG0000015	n0								SCAV.g7178
N6.HOG0000057	OG0000017	n0								SCAV.g1079, SCAV.g3367
N6.HOG0000058	OG0000022	n0				HMAN.evm.TU.Chr8.160				SCAV.g1159
N6.HOG0000059	OG0000023	n0				HMAN.evm.TU.Chr2.186				
N6.HOG0000060	OG0000024	n0				HMAN.evm.TU.Chr2.1524				SCAV.g4108
N6.HOG0000061	OG0000025	n2				HMAN.evm.TU.Chr4.45, HMAN.evm.TU.Chr4.76				SCAV.g12110, SCAV.g4296
N6.HOG0000062	OG0000025	n9				HMAN.evm.TU.Chr4.60				SCAV.g12123, SCAV.g14375, SCAV.g14376
N6.HOG0000063	OG0000025	n12				HMAN.evm.TU.Chr4.84				SCAV.g2261, SCAV.g2293
N6.HOG0000064	OG0000026	n10								SCAV.g14284, SCAV.g3998, SCAV.g4293
N6.HOG0000065	OG0000026	n13								SCAV.g6504, SCAV.g8143, SCAV.g8222
N6.HOG0000066	OG0000026	n17								SCAV.g1153, SCAV.g14282, SCAV.g8828
N6.HOG0000067	OG0000026	n20								SCAV.g10548, SCAV.g10550, SCAV.g10552, SCAV.g10554, SCAV.g1081, SCAV.g1154, SCAV.g1264, SCAV.g14286, SCAV.g4000, SCAV.g6095, SCAV.g6365, SCAV.g8140, SCAV.g9306, SCAV.g9480
N6.HOG0000068	OG0000026	n33								SCAV.g3951, SCAV.g619
N6.HOG0000069	OG0000026	n38				HMAN.evm.TU.Chr8.499				SCAV.g3934
N6.HOG0000070	OG0000026	n42								SCAV.g4194, SCAV.g8573
N6.HOG0000071	OG0000026	n46				HMAN.evm.TU.Chr12.141				SCAV.g4131
N6.HOG0000072	OG0000026	n47				HMAN.evm.TU.Chr2.653				SCAV.g9536
N6.HOG0000073	OG0000026	n48								SCAV.g10219, SCAV.g1029, SCAV.g1032, SCAV.g1288, SCAV.g6329, SCAV.g9287
N6.HOG0000074	OG0000026	n53								SCAV.g10372, SCAV.g4923
N6.HOG0000075	OG0000026	n54								SCAV.g1020, SCAV.g1021, SCAV.g1022, SCAV.g1023, SCAV.g1042, SCAV.g10629, SCAV.g10733, SCAV.g11531, SCAV.g1155, SCAV.g1246, SCAV.g1289, SCAV.g1290, SCAV.g13398, SCAV.g1360, SCAV.g14283, SCAV.g16058, SCAV.g3326, SCAV.g3933, SCAV.g6432, SCAV.g7763, SCAV.g7764, SCAV.g7855, SCAV.g7888, SCAV.g7890, SCAV.g7891, SCAV.g8145, SCAV.g8151, SCAV.g8221, SCAV.g87, SCAV.g9645, SCAV.g987
N6.HOG0000076	OG0000026	n84								SCAV.g1019, SCAV.g10373, SCAV.g10374, SCAV.g1041, SCAV.g1082, SCAV.g14281, SCAV.g14285, SCAV.g16057, SCAV.g2581, SCAV.g6449, SCAV.g7765, SCAV.g7766, SCAV.g7854, SCAV.g8141, SCAV.g9595
N6.HOG0000077	OG0000026	n98								SCAV.g1040, SCAV.g11891, SCAV.g3999, SCAV.g8142, SCAV.g9663
N6.HOG0000078	OG0000026	n103								SCAV.g1024, SCAV.g2656
N6.HOG0000079	OG0000027	n0								SCAV.g4047
N6.HOG0000080	OG0000028	n0				HMAN.evm.TU.Chr2.1062				
N6.HOG0000081	OG0000030	n0				HMAN.evm.TU.Chr10.160, HMAN.evm.TU.Chr10.161, HMAN.evm.TU.Chr10.162, HMAN.evm.TU.Chr10.163, HMAN.evm.TU.Chr10.164, HMAN.evm.TU.Chr10.185, HMAN.evm.TU.Chr10.186, HMAN.evm.TU.Chr10.187, HMAN.evm.TU.Chr10.53				SCAV.g8604
N6.HOG0000082	OG0000032	n0								SCAV.g1330
N6.HOG0000083	OG0000035	n0				HMAN.evm.TU.Chr9.630				
N6.HOG0000084	OG0000036	n2				HMAN.evm.TU.Chr4.1144				SCAV.g12200
N6.HOG0000085	OG0000036	n4				HMAN.evm.TU.Chr4.933				
N6.HOG0000086	OG0000038	n0								SCAV.g9065
N6.HOG0000087	OG0000039	n0				HMAN.evm.TU.Chr6.1134				
N6.HOG0000088	OG0000040	n0				HMAN.evm.TU.Unplaced93.1				
N6.HOG0000089	OG0000041	n0				HMAN.evm.TU.Chr13.418				SCAV.g7990
N6.HOG0000090	OG0000044	n0				HMAN.evm.TU.Chr1.773				SCAV.g10954
N6.HOG0000091	OG0000046	n4				HMAN.evm.TU.Chr3.602, HMAN.evm.TU.Chr3.603, HMAN.evm.TU.Chr3.70, HMAN.evm.TU.Chr3.71				SCAV.g3693, SCAV.g3694
N6.HOG0000092	OG0000046	n9				HMAN.evm.TU.Chr2.1588, HMAN.evm.TU.Chr3.600				SCAV.g2728, SCAV.g2747, SCAV.g2748, SCAV.g2783, SCAV.g3885
N6.HOG0000093	OG0000046	n15				HMAN.evm.TU.Chr3.601, HMAN.evm.TU.Chr4.541				SCAV.g2746
N6.HOG0000094	OG0000047	n0								SCAV.g10828, SCAV.g10829, SCAV.g10830, SCAV.g10831, SCAV.g10832, SCAV.g10833, SCAV.g10834, SCAV.g10835, SCAV.g10836, SCAV.g10837, SCAV.g10838, SCAV.g10839, SCAV.g10840, SCAV.g10841, SCAV.g10842, SCAV.g10843, SCAV.g10844, SCAV.g10845, SCAV.g10846, SCAV.g10847, SCAV.g10848, SCAV.g10849, SCAV.g10850, SCAV.g10851, SCAV.g10852, SCAV.g10853, SCAV.g10854, SCAV.g10855, SCAV.g10856, SCAV.g10857, SCAV.g10858, SCAV.g10859, SCAV.g10860, SCAV.g10861, SCAV.g10862, SCAV.g10863, SCAV.g10864, SCAV.g10865, SCAV.g10866, SCAV.g10867, SCAV.g10868, SCAV.g10869, SCAV.g10870, SCAV.g10871, SCAV.g10872, SCAV.g10873, SCAV.g10874, SCAV.g10875, SCAV.g10876, SCAV.g10877, SCAV.g10878, SCAV.g10879, SCAV.g10880, SCAV.g10881, SCAV.g10882, SCAV.g10883, SCAV.g10884, SCAV.g10885, SCAV.g10886, SCAV.g10887, SCAV.g10888, SCAV.g10889, SCAV.g10890, SCAV.g10891, SCAV.g10892, SCAV.g10893, SCAV.g10894, SCAV.g10895, SCAV.g10896, SCAV.g10897, SCAV.g10898, SCAV.g10899, SCAV.g10900, SCAV.g10901, SCAV.g10902, SCAV.g10903, SCAV.g10904, SCAV.g10905, SCAV.g10906, SCAV.g10907, SCAV.g10908, SCAV.g10909, SCAV.g10910, SCAV.g13571
N6.HOG0000095	OG0000048	n0								SCAV.g4117, SCAV.g8155
N6.HOG0000096	OG0000052	n0				HMAN.evm.TU.Chr3.1128				SCAV.g4238
N6.HOG0000097	OG0000053	n52				HMAN.evm.TU.Chr3.176				SCAV.g3019
N6.HOG0000098	OG0000053	n55				HMAN.evm.TU.Chr5.1052				SCAV.g13752
N6.HOG0000099	OG0000053	n65				HMAN.evm.TU.Chr5.1282, HMAN.evm.TU.Chr5.1283				SCAV.g13564
N6.HOG0000100	OG0000053	n67				HMAN.evm.TU.Chr5.1278, HMAN.evm.TU.Chr5.1279, HMAN.evm.TU.Chr5.1281				SCAV.g13565
N6.HOG0000101	OG0000053	n70				HMAN.evm.TU.Chr5.1280, HMAN.evm.TU.Chr5.1286				
N6.HOG0000102	OG0000053	n79				HMAN.evm.TU.Chr3.1596				SCAV.g4871
N6.HOG0000103	OG0000053	n80				HMAN.evm.TU.Chr3.1581, HMAN.evm.TU.Chr3.1597				SCAV.g4875
N6.HOG0000104	OG0000054	n0								SCAV.g12828, SCAV.g14216, SCAV.g7820, SCAV.g8149
N6.HOG0000105	OG0000055	n0				HMAN.evm.TU.Chr12.460				
N6.HOG0000106	OG0000056	n0								SCAV.g11374
N6.HOG0000107	OG0000062	n0				HMAN.evm.TU.Chr12.420				
N6.HOG0000108	OG0000064	n23				HMAN.evm.TU.Chr2.439, HMAN.evm.TU.Chr2.440, HMAN.evm.TU.Chr2.441, HMAN.evm.TU.Chr2.443				SCAV.g9214, SCAV.g9216
N6.HOG0000109	OG0000064	n28				HMAN.evm.TU.Chr13.240				SCAV.g13355
N6.HOG0000110	OG0000066	n3				HMAN.evm.TU.Chr13.661				
N6.HOG0000111	OG0000066	n6				HMAN.evm.TU.Chr13.662				SCAV.g8154
N6.HOG0000112	OG0000068	n0				HMAN.evm.TU.Chr2.469				SCAV.g9191
N6.HOG0000113	OG0000069	n0				HMAN.evm.TU.Chr7.500, HMAN.evm.TU.Chr7.501, HMAN.evm.TU.Chr7.502, HMAN.evm.TU.Unplaced326.2, HMAN.evm.TU.Unplaced326.3, HMAN.evm.TU.Unplaced326.4				SCAV.g10471, SCAV.g10549, SCAV.g10551, SCAV.g10553, SCAV.g10555, SCAV.g11957, SCAV.g15801, SCAV.g599, SCAV.g6247
N6.HOG0000114	OG0000072	n12				HMAN.evm.TU.Chr10.861, HMAN.evm.TU.Chr10.864				SCAV.g1431, SCAV.g1433
N6.HOG0000115	OG0000072	n16				HMAN.evm.TU.Chr10.866, HMAN.evm.TU.Chr10.868				SCAV.g1421, SCAV.g1434
N6.HOG0000116	OG0000072	n19				HMAN.evm.TU.Chr10.865				SCAV.g1422
N6.HOG0000117	OG0000072	n22								SCAV.g1410, SCAV.g1419
N6.HOG0000118	OG0000072	n24				HMAN.evm.TU.Chr10.872				SCAV.g1411, SCAV.g1412, SCAV.g1417, SCAV.g1418
N6.HOG0000119	OG0000072	n28				HMAN.evm.TU.Chr10.867, HMAN.evm.TU.Chr10.869, HMAN.evm.TU.Chr10.870				SCAV.g1409, SCAV.g1420
N6.HOG0000120	OG0000072	n32				HMAN.evm.TU.Chr10.856, HMAN.evm.TU.Chr10.857, HMAN.evm.TU.Chr10.858, HMAN.evm.TU.Chr10.859, HMAN.evm.TU.Chr10.860, HMAN.evm.TU.Chr10.862, HMAN.evm.TU.Chr10.863				SCAV.g1440
N6.HOG0000121	OG0000072	n49				HMAN.evm.TU.Chr10.850				SCAV.g1430
N6.HOG0000122	OG0000072	n50				HMAN.evm.TU.Chr10.848				SCAV.g1429
N6.HOG0000123	OG0000072	n51				HMAN.evm.TU.Chr10.847				SCAV.g1427
N6.HOG0000124	OG0000072	n53				HMAN.evm.TU.Chr10.852, HMAN.evm.TU.Chr10.853, HMAN.evm.TU.Chr10.854, HMAN.evm.TU.Chr10.874, HMAN.evm.TU.Unplaced254.2				SCAV.g1423, SCAV.g1424
N6.HOG0000125	OG0000072	n60				HMAN.evm.TU.Chr10.873				SCAV.g1413, SCAV.g1415, SCAV.g1416
N6.HOG0000126	OG0000072	n63				HMAN.evm.TU.Chr10.876				SCAV.g1404, SCAV.g1405, SCAV.g1406, SCAV.g1407, SCAV.g1408, SCAV.g1414
N6.HOG0000127	OG0000073	n11				HMAN.evm.TU.Chr12.219, HMAN.evm.TU.Chr12.220, HMAN.evm.TU.Chr12.350, HMAN.evm.TU.Chr12.994, HMAN.evm.TU.Chr3.1627, HMAN.evm.TU.Chr5.1325, HMAN.evm.TU.Chr5.1326, HMAN.evm.TU.Chr6.237, HMAN.evm.TU.Chr6.295, HMAN.evm.TU.Chr6.306, HMAN.evm.TU.Chr6.927, HMAN.evm.TU.Chr9.808				SCAV.g7255
N6.HOG0000128	OG0000073	n28				HMAN.evm.TU.Chr1.1281, HMAN.evm.TU.Chr1.1282				SCAV.g5368
N6.HOG0000129	OG0000073	n31				HMAN.evm.TU.Chr13.230				SCAV.g344, SCAV.g5342
N6.HOG0000130	OG0000073	n33				HMAN.evm.TU.Chr13.69, HMAN.evm.TU.Chr13.88, HMAN.evm.TU.Chr13.89				SCAV.g14034, SCAV.g14143, SCAV.g3820, SCAV.g3831, SCAV.g5315
N6.HOG0000131	OG0000073	n42				HMAN.evm.TU.Chr4.152, HMAN.evm.TU.Chr4.205, HMAN.evm.TU.Chr4.206, HMAN.evm.TU.Chr4.207, HMAN.evm.TU.Chr4.4, HMAN.evm.TU.Chr4.557, HMAN.evm.TU.Chr7.741, HMAN.evm.TU.Chr7.885, HMAN.evm.TU.Chr7.888, HMAN.evm.TU.Chr7.889, HMAN.evm.TU.Chr7.892, HMAN.evm.TU.Chr7.926, HMAN.evm.TU.Chr7.967, HMAN.evm.TU.Chr7.968				
N6.HOG0000132	OG0000073	n58				HMAN.evm.TU.Chr4.682				SCAV.g11818
N6.HOG0000133	OG0000073	n59				HMAN.evm.TU.Chr4.524, HMAN.evm.TU.Chr4.525, HMAN.evm.TU.Chr6.555				SCAV.g11799, SCAV.g11817
N6.HOG0000134	OG0000073	n63				HMAN.evm.TU.Chr1.342, HMAN.evm.TU.Chr2.849				SCAV.g12691
N6.HOG0000135	OG0000073	n65				HMAN.evm.TU.Chr4.797				SCAV.g4187, SCAV.g8419
N6.HOG0000136	OG0000073	n67				HMAN.evm.TU.Chr12.993, HMAN.evm.TU.Chr4.558, HMAN.evm.TU.Chr7.742				
